解説→,https://hackmd.io/OwFgxgnBBmCMsFoBMATaBWBIkEMUKgA5EAGCFAUwDYwkR0SBmdIA,,,
進捗率(完了日をカウント)→,56.27%,,,
Wikidata ID,name,,,
UI用DBカラム名,name_full,name_last,name_first,
wikdiata_concept,label,,,
wikidata,名前（フル）,名前（姓）,名前（名）,
Q1207174,額賀福志郎,額賀,福志郎,Q1207174
Q41770636,林京,林,京,-1
Q41805257,樋口舞,樋口,舞,-1
Q8049977,葉梨康弘,葉梨,康弘,Q8049977
Q41770639,堀江鶴治,堀江,鶴治,-1
Q11437735,大熊利昭,大熊,利昭,Q11437735
Q5770884,梶山弘志,梶山,弘志,Q5770884
Q41770640,川崎篤子,川崎,篤子,-1
Q41770642,浅野哲,浅野,哲,-1
Q11585840,石川昭政,石川,昭政,Q11585840
Q41770643,古沢喜幸,古沢,喜幸,-1
Q41770646,青山大人,青山,大人,-1
Q41770647,国光文乃,国光,文乃,-1
Q41770649,石嶋巌,石嶋,巌,-1
Q6416606,中村喜四郎,中村,喜四郎,Q6416606
Q6383690,永岡桂子,永岡,桂子,Q6383690
Q41770650,青木弘,青木,弘,Q11661721
Q11533657,柏倉祐司,柏倉,祐司,Q11533657
Q41770651,渡辺典喜,渡辺,典喜,-1
Q5639959,船田元,船田,元,Q5639959
Q3435725,福田昭夫,福田,昭夫,Q3435725
Q6435116,西川公也,西川,公也,Q6435116
Q41770653,槙昌三,槙,昌三,-1
Q41805177,渡辺美由紀,渡辺,美由紀,-1
Q41770655,石渡剛,石渡,剛,-1
Q11603860,簗和生,簗,和生,Q11603860
Q41770656,山崎寿彦,山崎,寿彦,-1
Q41770657,藤岡隆雄,藤岡,隆雄,-1
Q1133360,佐藤勉,佐藤,勉,Q1133360
Q41770658,川上均,川上,均,-1
Q11439189,大豆生田実,大豆生田,実,Q11439189
Q1655453,茂木敏充,茂木,敏充,Q1655453
Q41770659,店橋世津子,店橋,世津子,-1
Q11454258,宮崎岳志,宮崎,岳志,Q11454258
Q11465449,尾身朝子,尾身,朝子,Q11465449
Q41770662,長谷田直之,長谷田,直之,-1
Q7677320,石関貴史,石関,貴史,Q7677320
Q11373778,井野俊郎,井野,俊郎,Q11373778
Q41770664,長谷川嘉一,長谷川,嘉一,-1
Q11602573,笹川博義,笹川,博義,Q11602573
Q41770665,萩原貞夫,萩原,貞夫,-1
Q11361823,不破弘樹,不破,弘樹,Q11361823
Q2506910,福田達夫,福田,達夫,Q2506910
Q41770666,伊藤達也,伊藤,達也,Q614476
Q41805214,猪口幸子,猪口,幸子,-1
Q41770667,高橋宣之,高橋,宣之,-1
Q455848,小渕優子,小渕,優子,Q455848
Q41770679,鳥羽恵,鳥羽,恵,-1
Q6426239,武正公一,武正,公一,Q6426239
Q41777897,小檜山清人,小檜山,清人,-1
Q11523004,村井英樹,村井,英樹,Q11523004
Q41770680,平川道也,平川,道也,-1
Q41770682,菅克己,菅,克己,-1
Q529792,新藤義孝,新藤,義孝,Q529792
Q41805160,三輪麻美,三輪,麻美,-1
Q41770685,飯田剛,飯田,剛,-1
Q41805207,石川英行,石川,英行,-1
Q41770686,山川百合子,山川,百合子,-1
Q41777915,谷古宇勘司,谷古宇,勘司,-1
Q11677736,黄川田仁志,黄川田,仁志,Q11677736
Q41770687,朝賀英義,朝賀,英義,-1
Q41770688,吉田芳朝,吉田,芳朝,-1
Q11634137,豊田真由子,豊田,真由子,Q11634137
Q41770689,青柳仁士,青柳,仁士,-1
Q41770690,穂坂泰,穂坂,泰,-1
Q41805188,高木秀文,高木,秀文,-1
Q732087,枝野幸男,枝野,幸男,Q732087
Q5752395,牧原秀樹,牧原,秀樹,Q5752395
Q41770692,戸口佐一,戸口,佐一,-1
Q4817826,大島敦,大島,敦,Q4817826
Q6381814,中根一幸,中根,一幸,Q6381814
Q41770694,長沼チネ,長沼,チネ,-1
Q8050022,小宮山泰子,小宮山,泰子,Q8050022
Q11589528,神山佐市,神山,佐市,Q11589528
Q41770695,辻源巳,辻,源巳,-1
Q11463967,小野塚勝俊,小野塚,勝俊,Q11463967
Q6782350,柴山昌彦,柴山,昌彦,Q6782350
Q41770696,神田三春,神田,三春,-1
Q41770697,杉村慎治,杉村,慎治,-1
Q7678536,大塚拓,大塚,拓,Q7678536
Q41805338,柿沼遥輝,柿沼,遥輝,-1
Q17158714,坂本祐之輔,坂本,祐之輔,Q17158714
Q7676160,山口泰明,山口,泰明,Q7676160
#REF!,#REF!,#REF!,#REF!,-1
Q41770669,柴岡祐真,柴岡,祐真,-1
Q41770673,三角創太,三角,創太,-1
Q11462582,小泉龍司,小泉,龍司,Q11462582
Q17158474,今野智博,今野,智博,Q17158474
Q41770670,林秀洋,林,秀洋,-1
Q41770671,森田俊和,森田,俊和,-1
Q11645002,野中厚,野中,厚,Q11645002
Q41805251,北角嘉幸,北角,嘉幸,-1
Q41770675,池田万佐代,池田,万佐代,-1
Q11423241,土屋品子,土屋,品子,Q11423241
Q41770677,苗村京子,苗村,京子,-1
Q11649189,鈴木義弘,鈴木,義弘,Q11649189
Q41770678,榛野博,榛野,博,-1
Q11353993,三ッ林裕巳,三ッ林,裕巳,Q11353993
Q18700742,梅村早江子,梅村,早江子,Q18700742
Q7426418,高山智司,高山,智司,Q7426418
Q41777900,高橋英明,高橋,英明,Q28688776
Q7385322,田中良生,田中,良生,Q7385322
Q41770708,大野隆,大野,隆,-1
Q6360573,田嶋要,田嶋,要,Q6360573
Q11653978,長谷川豊,長谷川,豊,Q11653978
Q16769971,門山宏哲,門山,宏哲,Q16769971
Q41770709,上野洋嗣,上野,洋嗣,-1
Q41805301,竹ケ原裕美子,竹ケ原,裕美子,-1
Q41770711,樋口博康,樋口,博康,-1
Q41770712,藤巻健太,藤巻,健太,-1
Q11544691,櫛渕万里,櫛渕,万里,Q11544691
Q11472782,岡島一正,岡島,一正,Q11472782
Q5770251,松野博一,松野,博一,Q5770251
Q41770714,深津俊郎,深津,俊郎,-1
