北海道12区,,,,武部,新,たけべ,あらた,47,自民,公明,前,2,比例,環境政務官〈元〉衆院議員秘書・北見青年会議所理事▽早大,http://www.asahi.com/senkyo/senkyo2017/koho/A01.html
北海道12区,,,,水上,美華,みずかみ,みか,35,希望,,新,0,比例,〈元〉北見市議・衆院議員秘書・遊技会社員▽北見北斗高,http://www.asahi.com/senkyo/senkyo2017/koho/A01.html
北海道12区,,,,菅原,誠,すがわら,まこと,44,共産,,新,0,,党道委員・党地区委員長〈元〉日本民主青年同盟道副委員長▽北見工大院,http://www.asahi.com/senkyo/senkyo2017/koho/A01.html
青森1区,,,,津島,淳,つしま,じゅん,51,自民,公明,前,2,比例,〈元〉国交政務官・衆院議員秘書・関電工社員▽学習院大,http://www.asahi.com/senkyo/senkyo2017/koho/A02.html
青森1区,,,,赤平,勇人,あかひら,ゆうと,27,共産,,新,0,,党青森県委員〈元〉民青県委員長・機械製造会社員▽青森工高,http://www.asahi.com/senkyo/senkyo2017/koho/A02.html
青森1区,,,,升田,世喜男,ますた,せきお,60,希望,,前,1,比例,介護福祉会社役員〈元〉青森県議・小泊村議▽拓殖大中退,http://www.asahi.com/senkyo/senkyo2017/koho/A02.html
青森2区,,,,工藤,武司,くどう,たけし,45,希望,,新,0,比例,〈元〉民進党青森県第２区総支部長・陸上自衛官▽防衛大,http://www.asahi.com/senkyo/senkyo2017/koho/A02.html
青森2区,,,,奥本,菜保巳,おくもと,なおみ,57,共産,,新,0,,党青森県委員〈元〉三沢市議・住宅リフォーム会社員▽岩見沢駒沢短大,http://www.asahi.com/senkyo/senkyo2017/koho/A02.html
青森2区,,,,大島,理森,おおしま,ただもり,71,自民,公明,前,11,比例,〈元〉衆院議長・党副総裁・党幹事長・青森県議・毎日新聞社員▽慶大,http://www.asahi.com/senkyo/senkyo2017/koho/A02.html
青森3区,,,,三国,佑貴,みくに,ゆうき,32,諸派,,新,0,,幸福の科学職員〈元〉幸福実現党青森県副代表▽日大,http://www.asahi.com/senkyo/senkyo2017/koho/A02.html
青森3区,,,,木村,次郎,きむら,じろう,49,自民,公明,新,0,比例,〈元〉青森県職員▽中大,http://www.asahi.com/senkyo/senkyo2017/koho/A02.html
青森3区,,,,山内,崇,やまうち,たかし,62,希望,,新,0,比例,〈元〉民進党青森県幹事長・県議・自民党県幹事長代理・県職員▽立教大,http://www.asahi.com/senkyo/senkyo2017/koho/A02.html
青森3区,,,,高柳,博明,たかやなぎ,ひろあき,47,共産,,新,0,,党青森県常任委員・党地区副委員長〈元〉青森保健生協職員▽青森大,http://www.asahi.com/senkyo/senkyo2017/koho/A02.html
岩手1区,,,,高橋,比奈子,たかはし,ひなこ,59,自民,公明,前,2,比例,党岩手県副会長〈元〉環境政務官・県議・盛岡市議・アナウンサー▽日大,http://www.asahi.com/senkyo/senkyo2017/koho/A03.html
岩手1区,,,,吉田,恭子,よしだ,きょうこ,36,共産,,新,0,比例,党岩手県常任委員〈元〉民青同盟県常任委員・盛岡市職労職員▽和光大,http://www.asahi.com/senkyo/senkyo2017/koho/A03.html
岩手1区,,,,階,猛,しな,たけし,51,希望,,前,4,比例,弁護士〈元〉民進党政調会長・総務政務官・みずほ証券社員▽東大,http://www.asahi.com/senkyo/senkyo2017/koho/A03.html
岩手2区,,,,畑,浩治,はた,こうじ,54,希望,,元,2,比例,〈元〉生活の党政審会長・民主党岩手県副代表・国交省職員▽早大,http://www.asahi.com/senkyo/senkyo2017/koho/A03.html
岩手2区,,,,鈴木,俊一,すずき,しゅんいち,64,自民,公明,前,8,比例,五輪相〈元〉衆院震災復興特別委員長・外務副大臣・環境相▽早大,http://www.asahi.com/senkyo/senkyo2017/koho/A03.html
岩手3区,,,,小沢,一郎,おざわ,いちろう,75,無所,,前,16,,自由党代表〈元〉民主党代表・旧自由党首・新進党首・官房副長官▽慶大,http://www.asahi.com/senkyo/senkyo2017/koho/A03.html
岩手3区,,,,藤原,崇,ふじわら,たかし,34,自民,公明,前,2,比例,弁護士・党岩手県副会長〈元〉参院議員秘書▽明学大専門職院,http://www.asahi.com/senkyo/senkyo2017/koho/A03.html
宮城1区,,,,土井,亨,どい,とおる,59,自民,公明/こ,前,3,比例,復興副大臣〈元〉国交副大臣・党宮城県会長・県議▽東北学院大,http://www.asahi.com/senkyo/senkyo2017/koho/A04.html
宮城1区,,,,岡本,章子,おかもと,あきこ,53,立憲,,新,0,比例,〈元〉民進党宮城県幹事長・仙台市議・ＮＴＴ社員▽東北大,http://www.asahi.com/senkyo/senkyo2017/koho/A04.html
宮城1区,,,,畠山,昌樹,はたけやま,まさき,43,維新,,新,0,比例,医師〈元〉自衛隊医官・石巻ロイヤル病院整形外科部長▽防衛医大,http://www.asahi.com/senkyo/senkyo2017/koho/A04.html
宮城1区,,,,伊藤,優太,いとう,ゆうた,32,希望,,新,0,比例,〈元〉仙台市議・座間市議・芸能事務所社員▽国学院大,http://www.asahi.com/senkyo/senkyo2017/koho/A04.html
宮城1区,,,,油井,哲史,ゆい,てつし,37,諸派,,新,0,,幸福実現党宮城県代表〈元〉広告会社員▽桜美林大,http://www.asahi.com/senkyo/senkyo2017/koho/A04.html
宮城1区,,,,今留,尚人,いまどめ,なおと,52,無所,,新,0,,医師〈元〉気仙沼市立病院眼科科長▽東北大,http://www.asahi.com/senkyo/senkyo2017/koho/A04.html
宮城2区,,,,秋葉,賢也,あきば,けんや,55,自民,公明/こ,前,5,比例,党政調副会長〈元〉復興副大臣・厚労副大臣・党副幹事長▽東北大院,http://www.asahi.com/senkyo/senkyo2017/koho/A04.html
宮城2区,,,,鎌田,さゆり,かまた,さゆり,52,無所,,元,2,,〈元〉民進党宮城県幹事長代理・県議・民主党国対副委員長▽東北学院大,http://www.asahi.com/senkyo/senkyo2017/koho/A04.html
宮城3区,,,,一條,芳弘,いちじょう,よしひろ,44,希望,,新,0,比例,〈元〉民進党宮城県第３区総支部長・衆院議員秘書・百貨店員▽駒沢大,http://www.asahi.com/senkyo/senkyo2017/koho/A04.html
