以下のデータは CC0 で公開可となります。,,,,,,,,"twitter,facebook,ホームページを入れて行って頂けると助かります。他はだいたい入っていますが生年月日が年までしか入っていないものがあります。10/5 higa4",,,,,,,
wikidata への登録時に「出典URL」を「http://www.dot-jp.or.jp/seijinavi/」に設定していただけるとありがたく。,,,,,,,,現在登録済み数,127,15.34%,が完了しています。,,,,
登録が終わったら wikidata Q を書いてもらえると助かります,,,,,,,,,,,,Wikidataへの登録状況,,,
wikidata,名前,姓,名,名（フリガナ）,姓（フリガナ）,性別,生年月日,Twitterアドレス,Facebookページアドレス,ホームページアドレス1,ホームページアドレス2(ブログも可),担当,登録予定日,完了日,メモ
Q1131407,堀井学,堀井,学,マナブ,ホリイ,男,19720219,,,http://horiimanabu.jp/,,,,,
Q1131518,川端達夫,川端,達夫,タツオ,カワバタ,男,19450124,,,http://www.kawa-bata.net/,,ikt2y,10/6,,
Q1132836,浜田靖一,浜田,靖一,ヤスカズ,ハマダ,男,19551021,,,http://www.office-hamada.jp/,,,,,
Q1133136,渡海紀三朗,渡海,紀三朗,キサブロウ,トカイ,男,19480211,,,http://www.kisaburo.net/,,221daisuke,10/5,10/5,
Q1133192,細田博之,細田,博之,ヒロユキ,ホソダ,男,19440405,hosodahiroyuki,,http://h-hosoda.jp/,,ikt2y,10/6,,
Q1133194,森英介,森,英介,エイスケ,モリ,男,19480831,,,http://www.morieisuke.com/index.html,,,,,
Q1133360,佐藤勉,佐藤,勉,ツトム,サトウ,男,19520620,,,,,,,,
Q1133463,亀井静香,亀井,静香,シズカ,カメイ,男,19361101,kamei_shizuka,,http://www.kamei-shizuka.net/,,higa4,10/4,10/4,
Q1133880,二階俊博,二階,俊博,トシヒロ,ニカイ,男,19390217,,,http://www.nikai.jp/,,higa4,10/5,10/5,
Q11353993,三ツ林裕巳,三ツ林,裕巳,ヒロミ,ミツバヤシ,男,19550907,hiromitsubayasi,,http://mitsubay.com/,,higa4,10/5,10/5,公式サイトはドメイン切れ？
Q1135729,細野豪志,細野,豪志,ゴウシ,ホソノ,男,19710821,hosono_54,,http://www.goshi.org/,,,,,
Q11359720,上田勇,上田,勇,イサム,ウエダ,男,19580805,IsamuUeda,,http://www.isamu-u.com/,,,,,
Q11360103,上西小百合,上西,小百合,サユリ,ウエニシ,女,19830430,,,http://uenishi-sayuri.com/,,,,,
Q11364144,中山展宏,中山,展宏,ノリヒロ,ナカヤマ,男,19680916,,,http://norihiro.org/,,,,,
Q11364418,中島克仁,中島,克仁,カツヒト,ナカジマ,男,19670927,KatsuNakajima,,http://katsuhito-nakajima.jp/,,,,,
Q11364762,中川俊直,中川,俊直,トシナオ,ナカガワ,男,19700425,,https://www.facebook.com/syunchoku,http://www.nakagawatoshinao.jp/,,,,,
Q11365989,中村裕之,中村,裕之,ヒロユキ,ナカムラ,男,19610223,,,http://www.hiro-nakamura.jp/,,,,,
Q11366226,中根康浩,中根,康浩,ヤスヒロ,ナカネ,男,19620817,,,http://www.sun-inet.or.jp/~nakayasu/,,,,,
Q11367646,中野洋昌,中野,洋昌,ヒロマサ,ナカノ,男,19780104,Hiro_NAKANO_,https://www.facebook.com/nakanohiromasa.office,http://www.nakano-hiromasa.com/,,higa4,10/5,10/5,
Q11368259,丸山穂高,丸山,穂高,ホダカ,マルヤマ,男,19840110,maruyamahodaka,,http://www.h-maruyama.jp/,,,,,
Q11373203,井上英孝,井上,英孝,ヒデタカ,イノウエ,男,19711025,,,http://www.hidetaka.tv/,,,,,
Q11373245,井上貴博,井上,貴博,タカヒロ,イノウエ,男,19620402,,https://www.facebook.com/inouetakahirojimusho,http://inoue-dosukoi-takahiro.net/,,higa4,10/5,10/5,ホームページは違うのでは？
Q11373350,井出庸生,井出,庸生,ヨウセイ,イデ,男,19771121,yousei_ide,,http://yousei-ide.com/,http://yousei-ide.com/blog/,,,,
Q11373460,井坂信彦,井坂,信彦,ノブヒコ,イサカ,男,19740327,isakanobuhiko,https://www.facebook.com/isakanobuhiko,http://www.minna-isaka.jp/,,,,,
Q11373633,井林辰憲,井林,辰憲,タツノリ,イバヤシ,男,19760718,T_Ibayashi,,http://t-ibayashi.com/index.html,,,,,
Q11373778,井野俊郎,井野,俊郎,トシロウ,イノ,男,19800108,,,http://www.inooffice.jp/,,,,,
Q11376723,今井雅人,今井,雅人,マサト,イマイ,男,19620221,imai_masato,,http://www.imai-masato.com/,,,,,
Q11377132,今枝宗一郎,今枝,宗一郎,ソウイチロウ,イマエダ,男,19840218,imaeda_soichiro,https://www.facebook.com/pages/%E4%BB%8A%E6%9E%9D%E3%81%9D%E3%81%86%E3%81%84%E3%81%A1%E3%82%8D%E3%81,http://www.imaeda-sou.com/,,Yfuruchin,,,
Q11377294,今津寛,今津,寛,ヒロシ,イマズ,男,19460930,,https://www.facebook.com/imazuhiroshi164,http://www.hiroshi-i.net/,,ikt2y,10/6,,
Q11378895,伊佐進一,伊佐,進一,シンイチ,イサ,男,19741210,isashinichi,,http://isa41.net/,,,,,
Q11379447,伊東信久,伊東,信久,ノブヒサ,イトウ,男,19640104,itonobuhisa,https://www.facebook.com/itonobuhisa0104,https://www.n-ito.jp/,,,,,
Q11379575,伊東良孝,伊東,良孝,ヨシタカ,イトウ,男,19481124,,http://www.facebook.com/itoyoshitaka07,http://ito-yoshitaka.jp/,,,,,
Q11384409,佐藤英道,佐藤,英道,ヒデミチ,サトウ,男,19600926,hidemichisato,,http://kmplan.net/usr/sato/,,,,,
Q11391317,八木哲也,八木,哲也,テツヤ,ヤギ,男,19470810,,,http://yagi-tetsuya.net/,,221daisuke,10/5,10/5,
Q11395120,冨樫博之,冨樫,博之,ヒロユキ,トガシ,男,19550427,hiroyukitogash,,http://www.togachan.jp/,,,,,
Q11396609,初鹿明博,初鹿,明博,アキヒロ,ハツシカ,男,19690415,,,http://www.hatsushika.net/,,,,,
Q11397152,前川恵,前川,恵,メグミ,マエカワ,女,19750816,,,,,higa4,10/5,10/5,
Q11397382,前田一男,前田,一男,カズオ,マエダ,男,19660527,,,http://www.maedakazuo.jp/,,,,,
Q11399159,加藤寛治,加藤,寛治,カンジ,カトウ,男,19460424,,,http://kato.shimabara.jp/,,higa4,10/5,10/5,
Q11399825,助田重義,助田,重義,シゲヨシ,スケダ,男,19600110,,,,,,,,
Q11400147,勝俣孝明,勝俣,孝明,タカアキ,カツマタ,男,19760407,,,http://www.t-katsumata.com/,,,,,
Q11400372,勝沼栄明,勝沼,栄明,シゲアキ,カツヌマ,男,19741126,,,,,,,,
Q11409844,原田憲治,原田,憲治,ケンジ,ハラダ,男,19480609,harada_kenji,,http://haradakenji.sakura.ne.jp/,,,,,
Q11411691,古賀篤,古賀,篤,アツシ,コガ,男,19720714,kogaatsushi,https://www.facebook.com/kogaatsu,http://www.kogaatsushi.com/wordpress/,http://ameblo.jp/kogaatsushi,,,,
Q11412937,吉川元,吉川,元,ハジメ,ヨシカワ,男,19660928,YoshikawaHajime,,,,higa4,10/5,10/5,
