兵庫12区,,元民進,池畑浩太朗,新
奈良1区,,元民進,馬淵澄夫,前
奈良2区,,,松本昌之,新
奈良3区,,元民進,前川清成,新
和歌山1区,,元民進,岸本周平,前
和歌山2区,,元民進,坂田隆徳,新
鳥取2区,,元民進,湯原俊二,元
岡山1区,,,蜂谷弘美,新
岡山2区,,元民進,津村啓介,前
岡山3区,,,内山晃,元
岡山4区,,元民進,柚木道義,前
岡山5区,,,樽井良和,元
広島2区,,元民進,松本大輔,元
広島4区,,,上野寛治,新
広島5区,,,橋本琴絵,新
広島6区,,,佐藤公治,元
広島7区,,元民進,佐藤広典,新
山口1区,,元民進,大内一也,新
山口4区,,元民進,藤田時雄,新
徳島1区,,元民進,仁木博文,元
香川1区,,元民進,小川淳也,前
香川2区,,元民進,玉木雄一郎,前
愛媛1区,,元民進,富永喜代,新
愛媛2区,,,横山博幸,前
愛媛3区,,元民進,白石洋一,元
愛媛4区,,,桜内文城,元
高知1区,,元民進,大石宗,新
福岡1区,,,石井英俊,新
福岡2区,,元民進,稲富修二,元
福岡5区,,元民進,楠田大蔵,元
福岡7区,,元民進,原圭助,新
福岡9区,,元民進,緒方林太郎,前
福岡10区,,元民進,城井崇,元
福岡11区,,,村上智信,新
佐賀1区,,元民進,原口一博,前
佐賀2区,,元民進,大串博志,前
長崎1区,,元民進,西岡秀子,新
長崎2区,,元民進,山口初實,新
長崎3区,,,末次精一,新
長崎4区,,元民進,宮島大典,元
熊本1区,,元民進,松野頼久,前
大分1区,,元民進,吉良州司,前
大分3区,,,浦野英樹,新
宮崎1区,,,外山斎,新
宮崎3区,,,花輪智史,新
鹿児島2区,,元民進,斉藤佳代,新
鹿児島3区,,,野間健,前
,東北,元民進,寺田学,前
,近畿,,樽床伸二,前
,九州,,中山成彬,前

※ http://hajimetesenkyo.com/category6/entry149.html
