db,person,property,value
ours,Q1039717,,
ours,Q10856313,,
ours,Q1131407,,
ours,Q1132836,,
ours,Q1133136,,
ours,Q1133192,,
ours,Q1133194,,
ours,Q1133360,,
ours,Q1133880,,
ours,Q11353993,,
ours,Q11355593,,
ours,Q11355765,,
ours,Q1135729,,
ours,Q11357294,,
ours,Q11359720,,
ours,Q11360320,,
ours,Q11361823,,
ours,Q11362721,,
ours,Q11363118,,
ours,Q11364144,,
ours,Q11364418,,
ours,Q11365989,,
ours,Q11366226,,
ours,Q11366452,,
ours,Q11367646,,
ours,Q11368259,,
ours,Q11368828,,
ours,Q11373203,,
ours,Q11373245,,
ours,Q11373350,,
ours,Q11373460,,
ours,Q11373555,,
ours,Q11373633,,
ours,Q11373778,,
ours,Q11376392,,
ours,Q11376723,,
ours,Q11377131,,
ours,Q11377132,,
ours,Q11377294,,
ours,Q11378895,,
ours,Q11379447,,
ours,Q11379575,,
ours,Q11382420,,
ours,Q11384409,,
ours,Q11391317,,
ours,Q11395120,,
ours,Q11396609,,
ours,Q11397152,,
ours,Q11397382,,
ours,Q11399159,,
ours,Q11399825,,
ours,Q11400147,,
ours,Q11400194,,
ours,Q11400372,,
ours,Q11409844,,
ours,Q11411691,,
ours,Q11412937,,
ours,Q11413102,,
ours,Q11413941,,
ours,Q11414054,,
ours,Q11422694,,
ours,Q11422753,,
ours,Q11423241,,
ours,Q11425971,,
ours,Q11425985,,
ours,Q11427301,,
ours,Q11428744,,
ours,Q11431868,,
ours,Q11433281,,
ours,Q11434738,,
ours,Q11435293,,
ours,Q11437735,,
ours,Q11438832,,
ours,Q11438916,,
ours,Q11438945,,
ours,Q11439189,,
ours,Q11439619,,
ours,Q11446165,,
ours,Q11449090,,
ours,Q11450236,,
ours,Q11450883,,
ours,Q11451405,,
ours,Q11453336,,
ours,Q11454107,,
ours,Q11454258,,
ours,Q11454333,,
ours,Q11454668,,
ours,Q11454828,,
ours,Q11455005,,
ours,Q11455025,,
ours,Q11457846,,
ours,Q11458942,,
ours,Q11459848,,
ours,Q11460163,,
ours,Q11461246,,
ours,Q11461458,,
ours,Q11461866,,
ours,Q11461955,,
ours,Q11462267,,
ours,Q11462483,,
ours,Q11462582,,
ours,Q11462766,,
ours,Q11462993,,
ours,Q11463967,,
ours,Q11465449,,
ours,Q11466071,,
ours,Q11466091,,
ours,Q11466235,,
ours,Q11466249,,
ours,Q11466402,,
ours,Q11467778,,
ours,Q11467842,,
ours,Q11468075,,
ours,Q11468214,,
ours,Q11468895,,
ours,Q11469130,,
ours,Q11470238,,
ours,Q11470608,,
ours,Q11470671,,
ours,Q11470885,,
ours,Q11472782,,
ours,Q11475456,,
ours,Q11475894,,
ours,Q11477350,,
ours,Q11479048,,
ours,Q11479573,,
ours,Q11488572,,
ours,Q11496954,,
ours,Q11500159,,
ours,Q11513088,,
ours,Q11515287,,
ours,Q11518048,,
ours,Q11518159,,
ours,Q11518163,,
ours,Q11518220,,
ours,Q11518222,,
ours,Q11518735,,
ours,Q11519999,,
ours,Q11520430,,
ours,Q11522062,,
ours,Q11522313,,
ours,Q11522739,,
ours,Q11523004,,
ours,Q11523193,,
ours,Q11533657,,
ours,Q11534806,,
ours,Q11535033,,
ours,Q11536382,,
ours,Q11537927,,
ours,Q11538822,,
ours,Q11539493,,
ours,Q11539787,,
ours,Q11542202,,
ours,Q11543692,,
ours,Q11544051,,
ours,Q11544282,,
ours,Q11544691,,
ours,Q11545768,,
ours,Q11546026,,
ours,Q11546586,,
ours,Q11547421,,
ours,Q11549401,,
ours,Q11551703,,
ours,Q11552157,,
ours,Q11553342,,
ours,Q11554229,,
ours,Q1155448,,
ours,Q11555503,,
ours,Q11556075,,
ours,Q11558377,,
ours,Q11560960,,
ours,Q11561174,,
ours,Q11561908,,
ours,Q11562133,,
ours,Q11562188,,
ours,Q11563479,,
ours,Q11563535,,
ours,Q11566187,,
ours,Q11566681,,
ours,Q11568677,,
ours,Q11570409,,
ours,Q11572466,,
ours,Q11572647,,
ours,Q11574554,,
ours,Q11576787,,
ours,Q11577021,,
ours,Q11577186,,
ours,Q11577205,,
ours,Q11577481,,
ours,Q11578483,,
ours,Q11578505,,
ours,Q11578596,,
ours,Q11580199,,
ours,Q11580448,,
ours,Q11583883,,
ours,Q11585604,,
ours,Q11585840,,
ours,Q11586782,,
ours,Q11589528,,
ours,Q11589542,,
ours,Q11590601,,
ours,Q11592023,,
ours,Q11593023,,
ours,Q11596567,,
ours,Q11596723,,
ours,Q11597257,,
ours,Q11597430,,
ours,Q11598974,,
ours,Q11599306,,
ours,Q11602573,,
ours,Q11603860,,
ours,Q11606064,,
ours,Q11609955,,
ours,Q1161024,,
ours,Q11614128,,
ours,Q11616618,,
ours,Q11619136,,
ours,Q11619261,,
ours,Q11620603,,
ours,Q11622647,,
ours,Q11622818,,
ours,Q11623218,,
ours,Q11624673,,
ours,Q11624750,,
ours,Q11627955,,
ours,Q11629289,,
ours,Q11629761,,
ours,Q11629931,,
ours,Q11633044,,
ours,Q11634137,,
ours,Q11637002,,
ours,Q11637774,,
ours,Q11638274,,
ours,Q11638747,,
ours,Q11642258,,
ours,Q11644760,,
ours,Q11644934,,
ours,Q11645002,,
ours,Q11646016,,
ours,Q11646177,,
ours,Q11646784,,
ours,Q11647123,,
ours,Q11647681,,
ours,Q11648868,,
ours,Q11649031,,
ours,Q11649189,,
ours,Q11651021,,
ours,Q11651619,,
ours,Q11651845,,
ours,Q11652221,,
ours,Q11653978,,
ours,Q11654965,,
ours,Q11656652,,
ours,Q11657178,,
ours,Q11657599,,
ours,Q11657813,,
ours,Q11661236,,
ours,Q11661965,,
ours,Q11667848,,
ours,Q11668691,,
ours,Q11670038,,
ours,Q11670300,,
ours,Q11671375,,
ours,Q11671542,,
ours,Q11673487,,
ours,Q11677736,,
ours,Q11678114,,
ours,Q11679075,,
ours,Q1207174,,
ours,Q122465,,
ours,Q1315762,,
ours,Q132280,,
ours,Q132345,,
ours,Q132596,,
ours,Q1335527,,
ours,Q1336805,,
ours,Q1340817,,
ours,Q1478311,,
ours,Q15220933,,
ours,Q152728,,
ours,Q1620229,,
ours,Q16263623,,
ours,Q16264323,,
ours,Q16264927,,
ours,Q1654408,,
ours,Q1654639,,
ours,Q1655220,,
ours,Q1655453,,
ours,Q1655755,,
ours,Q1656878,,
ours,Q1656896,,
ours,Q16769971,,
ours,Q16770033,,
ours,Q1689655,,
ours,Q1704924,,
ours,Q1704969,,
ours,Q1705028,,
ours,Q17158474,,
ours,Q17158549,,
ours,Q17158714,,
ours,Q17158871,,
ours,Q17159494,,
ours,Q17160031,,
ours,Q17160872,,
ours,Q17219387,,
ours,Q17220479,,
ours,Q17223599,,
ours,Q1724004,,
ours,Q1737905,,
ours,Q1737907,,
ours,Q1739044,,
ours,Q1761759,,
ours,Q18458881,,
ours,Q18669603,,
ours,Q18700742,,
ours,Q18700919,,
ours,Q18701018,,
ours,Q18817349,,
ours,Q18817567,,
ours,Q18817650,,
ours,Q18817798,,
ours,Q18817877,,
ours,Q18817972,,
ours,Q18818065,,
ours,Q18818101,,
ours,Q18818124,,
ours,Q18818128,,
ours,Q18818200,,
ours,Q18818207,,
ours,Q18818221,,
ours,Q18818315,,
ours,Q1906668,,
ours,Q1949760,,
ours,Q1965622,,
ours,Q1995125,,
ours,Q20039047,,
ours,Q20039110,,
ours,Q20039172,,
ours,Q20039502,,
ours,Q20039675,,
ours,Q20040516,,
ours,Q20040828,,
ours,Q20041303,,
ours,Q20041482,,
ours,Q20041786,,
ours,Q212400,,
ours,Q21655809,,
ours,Q21655823,,
ours,Q21655857,,
ours,Q21701087,,
ours,Q21703015,,
ours,Q23907516,,
ours,Q2394829,,
ours,Q24340430,,
ours,Q2484652,,
ours,Q24875305,,
ours,Q2506910,,
ours,Q2576940,,
ours,Q2576975,,
ours,Q263777,,
ours,Q265174,,
ours,Q276275,,
ours,Q30144920,,
ours,Q3136350,,
ours,Q337406,,
ours,Q337507,,
ours,Q337762,,
ours,Q3435725,,
ours,Q3482658,,
ours,Q3547232,,
ours,Q359480,,
ours,Q360395,,
ours,Q369170,,
ours,Q370385,,
ours,Q382089,,
ours,Q382311,,
ours,Q388496,,
ours,Q405527,,
ours,Q405533,,
ours,Q41618899,,
ours,Q41693423,,
ours,Q41693816,,
ours,Q41693822,,
ours,Q41698739,,
ours,Q41767957,,
ours,Q41768312,,
ours,Q41768409,,
ours,Q41768435,,
ours,Q41768440,,
ours,Q41769795,,
ours,Q41769890,,
ours,Q41769891,,
ours,Q41769946,,
ours,Q41769947,,
ours,Q41769948,,
ours,Q41769950,,
ours,Q41769951,,
ours,Q41769952,,
ours,Q41769955,,
ours,Q41770033,,
ours,Q41770036,,
ours,Q41770037,,
ours,Q41770041,,
ours,Q41770042,,
ours,Q41770043,,
ours,Q41770226,,
ours,Q41770228,,
ours,Q41770229,,
ours,Q41770230,,
ours,Q41770231,,
ours,Q41770233,,
ours,Q41770235,,
ours,Q41770236,,
ours,Q41770238,,
ours,Q41770239,,
ours,Q41770450,,
ours,Q41770452,,
ours,Q41770455,,
ours,Q41770456,,
ours,Q41770457,,
ours,Q41770459,,
ours,Q41770460,,
ours,Q41770463,,
ours,Q41770465,,
ours,Q41770566,,
ours,Q41770567,,
ours,Q41770570,,
ours,Q41770571,,
ours,Q41770572,,
ours,Q41770573,,
ours,Q41770575,,
ours,Q41770577,,
ours,Q41770579,,
ours,Q41770581,,
ours,Q41770582,,
ours,Q41770583,,
ours,Q41770584,,
ours,Q41770585,,
ours,Q41770587,,
ours,Q41770589,,
ours,Q41770590,,
ours,Q41770593,,
ours,Q41770594,,
ours,Q41770595,,
ours,Q41770599,,
ours,Q41770601,,
ours,Q41770602,,
ours,Q41770603,,
ours,Q41770605,,
ours,Q41770606,,
ours,Q41770609,,
ours,Q41770610,,
ours,Q41770611,,
ours,Q41770613,,
ours,Q41770614,,
ours,Q41770615,,
ours,Q41770616,,
ours,Q41770618,,
ours,Q41770619,,
ours,Q41770620,,
ours,Q41770622,,
ours,Q41770623,,
ours,Q41770624,,
ours,Q41770625,,
ours,Q41770626,,
ours,Q41770628,,
ours,Q41770630,,
ours,Q41770631,,
ours,Q41770632,,
ours,Q41770634,,
ours,Q41770635,,
ours,Q41770636,,
ours,Q41770639,,
ours,Q41770640,,
ours,Q41770642,,
ours,Q41770643,,
ours,Q41770646,,
ours,Q41770647,,
ours,Q41770649,,
ours,Q41770650,,
ours,Q41770651,,
ours,Q41770652,,
ours,Q41770653,,
ours,Q41770655,,
ours,Q41770656,,
ours,Q41770657,,
ours,Q41770658,,
ours,Q41770659,,
ours,Q41770661,,
ours,Q41770662,,
ours,Q41770664,,
ours,Q41770665,,
ours,Q41770666,,
ours,Q41770667,,
ours,Q41770669,,
ours,Q41770670,,
ours,Q41770671,,
ours,Q41770673,,
ours,Q41770675,,
ours,Q41770677,,
ours,Q41770678,,
ours,Q41770679,,
ours,Q41770680,,
ours,Q41770682,,
ours,Q41770685,,
ours,Q41770686,,
ours,Q41770687,,
ours,Q41770688,,
ours,Q41770689,,
ours,Q41770690,,
ours,Q41770692,,
ours,Q41770694,,
ours,Q41770695,,
ours,Q41770696,,
ours,Q41770697,,
ours,Q41770698,,
ours,Q41770700,,
ours,Q41770702,,
ours,Q41770703,,
ours,Q41770705,,
ours,Q41770706,,
ours,Q41770708,,
ours,Q41770709,,
ours,Q41770711,,
ours,Q41770712,,
ours,Q41770714,,
ours,Q41770715,,
ours,Q41770719,,
ours,Q41770721,,
ours,Q41770722,,
ours,Q41770723,,
ours,Q41770724,,
ours,Q41770725,,
ours,Q41770726,,
ours,Q41770727,,
ours,Q41770729,,
ours,Q41770730,,
ours,Q41770731,,
ours,Q41770734,,
ours,Q41770735,,
ours,Q41770737,,
ours,Q41770740,,
ours,Q41770741,,
ours,Q41770742,,
ours,Q41770743,,
ours,Q41770746,,
ours,Q41770747,,
ours,Q41770748,,
ours,Q41770750,,
ours,Q41770751,,
ours,Q41770753,,
ours,Q41770754,,
ours,Q41770755,,
ours,Q41770761,,
ours,Q41770763,,
ours,Q41770764,,
ours,Q41770766,,
ours,Q41770770,,
ours,Q41770773,,
ours,Q41770774,,
ours,Q41770775,,
ours,Q41770776,,
ours,Q41770779,,
ours,Q41770780,,
ours,Q41770781,,
ours,Q41770782,,
ours,Q41770784,,
ours,Q41770785,,
ours,Q41770788,,
ours,Q41770789,,
ours,Q41770791,,
ours,Q41770792,,
ours,Q41770793,,
ours,Q41770795,,
ours,Q41770797,,
ours,Q41770800,,
ours,Q41770804,,
ours,Q41770805,,
ours,Q41770806,,
ours,Q41770808,,
ours,Q41770813,,
ours,Q41770814,,
ours,Q41770815,,
ours,Q41770816,,
ours,Q41770817,,
ours,Q41770818,,
ours,Q41770820,,
ours,Q41770822,,
ours,Q41770824,,
ours,Q41770826,,
ours,Q41770828,,
ours,Q41770830,,
ours,Q41770834,,
ours,Q41770835,,
ours,Q41770837,,
ours,Q41770839,,
ours,Q41770844,,
ours,Q41770845,,
ours,Q41770846,,
ours,Q41770847,,
ours,Q41770848,,
ours,Q41770850,,
ours,Q41770851,,
ours,Q41770852,,
ours,Q41770856,,
ours,Q41770857,,
ours,Q41770859,,
ours,Q41770860,,
ours,Q41770863,,
ours,Q41770864,,
ours,Q41770866,,
ours,Q41770867,,
ours,Q41770869,,
ours,Q41770872,,
ours,Q41770873,,
ours,Q41770875,,
ours,Q41770877,,
ours,Q41770878,,
ours,Q41770880,,
ours,Q41770882,,
ours,Q41770883,,
ours,Q41770884,,
ours,Q41770885,,
ours,Q41770886,,
ours,Q41770887,,
ours,Q41770889,,
ours,Q41770890,,
ours,Q41770892,,
ours,Q41770893,,
ours,Q41770894,,
ours,Q41770896,,
ours,Q41770898,,
ours,Q41770900,,
ours,Q41770901,,
ours,Q41770903,,
ours,Q41770904,,
ours,Q41770906,,
ours,Q41770908,,
ours,Q41770909,,
ours,Q41770911,,
ours,Q41770914,,
ours,Q41770915,,
ours,Q41770918,,
ours,Q41770920,,
ours,Q41770922,,
ours,Q41770924,,
ours,Q41770925,,
ours,Q41770926,,
ours,Q41770927,,
ours,Q41770929,,
ours,Q41770931,,
ours,Q41770933,,
ours,Q41770936,,
ours,Q41770938,,
ours,Q41770939,,
ours,Q41770941,,
ours,Q41770942,,
ours,Q41770943,,
ours,Q41770945,,
ours,Q41770946,,
ours,Q41770948,,
ours,Q41770949,,
ours,Q41770951,,
ours,Q41770953,,
ours,Q41770955,,
ours,Q41770956,,
ours,Q41770959,,
ours,Q41770960,,
ours,Q41770961,,
ours,Q41770962,,
ours,Q41770963,,
ours,Q41770965,,
ours,Q41770967,,
ours,Q41770968,,
ours,Q41770969,,
ours,Q41770971,,
ours,Q41770972,,
ours,Q41770973,,
ours,Q41770974,,
ours,Q41770976,,
ours,Q41770978,,
ours,Q41770979,,
ours,Q41770980,,
ours,Q41770981,,
ours,Q41770983,,
ours,Q41770984,,
ours,Q41770986,,
ours,Q41770988,,
ours,Q41770989,,
ours,Q41770991,,
ours,Q41770992,,
ours,Q41770994,,
ours,Q41770995,,
ours,Q41770996,,
ours,Q41770998,,
ours,Q41770999,,
ours,Q41771001,,
ours,Q41771003,,
ours,Q41771004,,
ours,Q41771005,,
ours,Q41771007,,
ours,Q41771008,,
ours,Q41771009,,
ours,Q41771010,,
ours,Q41771012,,
ours,Q41771013,,
ours,Q41771014,,
ours,Q41771016,,
ours,Q41771018,,
ours,Q41771019,,
ours,Q41771020,,
ours,Q41771021,,
ours,Q41771024,,
ours,Q41771025,,
ours,Q41771026,,
ours,Q41771028,,
ours,Q41771029,,
ours,Q41771031,,
ours,Q41771033,,
ours,Q41771035,,
ours,Q41771036,,
ours,Q41771037,,
ours,Q41771038,,
ours,Q41771040,,
ours,Q41771042,,
ours,Q41771044,,
ours,Q41771045,,
ours,Q41771046,,
ours,Q41771047,,
ours,Q41771049,,
ours,Q41771051,,
ours,Q41771052,,
ours,Q41771054,,
ours,Q41771055,,
ours,Q41771057,,
ours,Q41771058,,
ours,Q41771060,,
ours,Q41771061,,
ours,Q41771063,,
ours,Q41777897,,
ours,Q41777898,,
ours,Q41777900,,
ours,Q41777902,,
ours,Q41777904,,
ours,Q41777907,,
ours,Q41777909,,
ours,Q41777910,,
ours,Q41777912,,
ours,Q41777915,,
ours,Q41777916,,
ours,Q41777917,,
ours,Q41777921,,
ours,Q41777923,,
ours,Q41777925,,
ours,Q41777927,,
ours,Q41777929,,
ours,Q41777931,,
ours,Q41777933,,
ours,Q41777936,,
ours,Q41777938,,
ours,Q41777939,,
ours,Q41777940,,
ours,Q41777943,,
ours,Q41777945,,
ours,Q41777947,,
ours,Q41777949,,
ours,Q41777950,,
ours,Q41777952,,
ours,Q41777954,,
ours,Q41777956,,
ours,Q41777958,,
ours,Q41777959,,
ours,Q41777960,,
ours,Q41777962,,
ours,Q41777964,,
ours,Q41777966,,
ours,Q41777967,,
ours,Q41777968,,
ours,Q41777969,,
ours,Q41777971,,
ours,Q41794089,,
ours,Q41794090,,
ours,Q41794091,,
ours,Q41794094,,
ours,Q41794095,,
ours,Q41794096,,
ours,Q41794100,,
ours,Q41794101,,
ours,Q41805146,,
ours,Q41805147,,
ours,Q41805148,,
ours,Q41805154,,
ours,Q41805155,,
ours,Q41805156,,
ours,Q41805157,,
ours,Q41805158,,
ours,Q41805159,,
ours,Q41805160,,
ours,Q41805161,,
ours,Q41805162,,
ours,Q41805163,,
ours,Q41805164,,
ours,Q41805165,,
ours,Q41805166,,
ours,Q41805168,,
ours,Q41805169,,
ours,Q41805170,,
ours,Q41805171,,
ours,Q41805172,,
ours,Q41805173,,
ours,Q41805174,,
ours,Q41805175,,
ours,Q41805176,,
ours,Q41805177,,
ours,Q41805178,,
ours,Q41805179,,
ours,Q41805180,,
ours,Q41805181,,
ours,Q41805182,,
ours,Q41805183,,
ours,Q41805184,,
ours,Q41805186,,
ours,Q41805187,,
ours,Q41805188,,
ours,Q41805189,,
ours,Q41805191,,
ours,Q41805192,,
ours,Q41805193,,
ours,Q41805194,,
ours,Q41805195,,
ours,Q41805196,,
ours,Q41805197,,
ours,Q41805198,,
ours,Q41805199,,
ours,Q41805200,,
ours,Q41805201,,
ours,Q41805202,,
ours,Q41805203,,
ours,Q41805204,,
ours,Q41805205,,
ours,Q41805206,,
ours,Q41805207,,
ours,Q41805208,,
ours,Q41805209,,
ours,Q41805210,,
ours,Q41805211,,
ours,Q41805213,,
ours,Q41805214,,
ours,Q41805215,,
ours,Q41805216,,
ours,Q41805217,,
ours,Q41805218,,
ours,Q41805219,,
ours,Q41805220,,
ours,Q41805221,,
ours,Q41805222,,
ours,Q41805223,,
ours,Q41805224,,
ours,Q41805225,,
ours,Q41805226,,
ours,Q41805227,,
ours,Q41805228,,
ours,Q41805229,,
ours,Q41805230,,
ours,Q41805231,,
ours,Q41805232,,
ours,Q41805233,,
ours,Q41805234,,
ours,Q41805236,,
ours,Q41805237,,
ours,Q41805238,,
ours,Q41805239,,
ours,Q41805240,,
ours,Q41805241,,
ours,Q41805242,,
ours,Q41805243,,
ours,Q41805244,,
ours,Q41805245,,
ours,Q41805246,,
ours,Q41805247,,
ours,Q41805248,,
ours,Q41805249,,
ours,Q41805250,,
ours,Q41805251,,
ours,Q41805252,,
ours,Q41805253,,
ours,Q41805255,,
ours,Q41805256,,
ours,Q41805257,,
ours,Q41805258,,
ours,Q41805260,,
ours,Q41805261,,
ours,Q41805262,,
ours,Q41805263,,
ours,Q41805264,,
ours,Q41805265,,
ours,Q41805266,,
ours,Q41805267,,
ours,Q41805268,,
ours,Q41805269,,
ours,Q41805270,,
ours,Q41805271,,
ours,Q41805272,,
ours,Q41805273,,
ours,Q41805274,,
ours,Q41805275,,
ours,Q41805276,,
ours,Q41805277,,
ours,Q41805278,,
ours,Q41805279,,
ours,Q41805280,,
ours,Q41805281,,
ours,Q41805282,,
ours,Q41805284,,
ours,Q41805285,,
ours,Q41805286,,
ours,Q41805287,,
ours,Q41805288,,
ours,Q41805289,,
ours,Q41805290,,
ours,Q41805291,,
ours,Q41805292,,
ours,Q41805293,,
ours,Q41805294,,
ours,Q41805295,,
ours,Q41805296,,
ours,Q41805297,,
ours,Q41805298,,
ours,Q41805299,,
ours,Q41805300,,
ours,Q41805301,,
ours,Q41805302,,
ours,Q41805303,,
ours,Q41805304,,
ours,Q41805305,,
ours,Q41805307,,
ours,Q41805308,,
ours,Q41805309,,
ours,Q41805310,,
ours,Q41805311,,
ours,Q41805312,,
ours,Q41805313,,
ours,Q41805314,,
ours,Q41805315,,
ours,Q41805316,,
ours,Q41805317,,
ours,Q41805318,,
ours,Q41805320,,
ours,Q41805321,,
ours,Q41805322,,
ours,Q41805323,,
ours,Q41805324,,
ours,Q41805325,,
ours,Q41805326,,
ours,Q41805327,,
ours,Q41805328,,
ours,Q41805329,,
ours,Q41805330,,
ours,Q41805332,,
ours,Q41805333,,
ours,Q41805334,,
ours,Q41805335,,
ours,Q41805336,,
ours,Q41805337,,
ours,Q41805338,,
ours,Q418206,,
ours,Q418675,,
ours,Q419010,,
ours,Q42290522,,
ours,Q42290611,,
ours,Q441718,,
ours,Q455848,,
ours,Q456011,,
ours,Q457774,,
ours,Q459698,,
ours,Q459998,,
ours,Q462308,,
ours,Q467453,,
ours,Q4700938,,
ours,Q4700952,,
ours,Q4701145,,
ours,Q47846,,
ours,Q4803390,,
ours,Q4817826,,
ours,Q49875,,
ours,Q49936,,
ours,Q49943,,
ours,Q49949,,
ours,Q49969,,
ours,Q49988,,
ours,Q49996,,
ours,Q49998,,
ours,Q49999,,
ours,Q506730,,
ours,Q5100105,,
ours,Q5102671,,
ours,Q513317,,
ours,Q516232,,
ours,Q5209113,,
ours,Q5209617,,
ours,Q5209645,,
ours,Q5209856,,
ours,Q529792,,
ours,Q5349200,,
ours,Q5371065,,
ours,Q548239,,
ours,Q5508556,,
ours,Q5517695,,
ours,Q5530859,,
ours,Q5637084,,
ours,Q5639959,,
ours,Q5639964,,
ours,Q5680924,,
ours,Q5752395,,
ours,Q5752415,,
ours,Q57647,,
ours,Q5770152,,
ours,Q5770251,,
ours,Q5770815,,
ours,Q5770884,,
ours,Q5770910,,
ours,Q5771003,,
ours,Q5772420,,
ours,Q58213,,
ours,Q582685,,
ours,Q5986289,,
ours,Q6088170,,
ours,Q6094931,,
ours,Q6102348,,
ours,Q6140382,,
ours,Q6142027,,
ours,Q614464,,
ours,Q6144675,,
ours,Q614476,,
ours,Q6203082,,
ours,Q6311456,,
ours,Q6311513,,
ours,Q6314413,,
ours,Q6360573,,
ours,Q6378065,,
ours,Q6378155,,
ours,Q6381578,,
ours,Q6381615,,
ours,Q6381645,,
ours,Q6381788,,
ours,Q6381814,,
ours,Q6383605,,
ours,Q6383646,,
ours,Q6383690,,
ours,Q6383814,,
ours,Q6383909,,
ours,Q6383911,,
ours,Q6389276,,
ours,Q6389323,,
ours,Q6389383,,
ours,Q6389412,,
ours,Q6391984,,
ours,Q6416606,,
ours,Q6418998,,
ours,Q6419134,,
ours,Q6426211,,
ours,Q6426239,,
ours,Q6426240,,
ours,Q6426244,,
ours,Q6426248,,
ours,Q6426455,,
ours,Q6433881,,
ours,Q6435116,,
ours,Q6435368,,
ours,Q653000,,
ours,Q661410,,
ours,Q6739516,,
ours,Q6746574,,
ours,Q6746585,,
ours,Q6782264,,
ours,Q6782350,,
ours,Q6782366,,
ours,Q6782391,,
ours,Q6782480,,
ours,Q6782686,,
ours,Q6782738,,
ours,Q6782819,,
ours,Q6837950,,
ours,Q6837954,,
ours,Q6842917,,
ours,Q6864590,,
ours,Q6869306,,
ours,Q6882969,,
ours,Q6883317,,
ours,Q704345,,
ours,Q7046134,,
ours,Q7051265,,
ours,Q7051315,,
ours,Q7051324,,
ours,Q7051352,,
ours,Q729599,,
ours,Q730991,,
ours,Q732087,,
ours,Q7385287,,
ours,Q7385320,,
ours,Q7385322,,
ours,Q7385342,,
ours,Q7426418,,
ours,Q7426422,,
ours,Q7446686,,
ours,Q7446719,,
ours,Q7446737,,
ours,Q7446761,,
ours,Q7477634,,
ours,Q7496342,,
ours,Q7496422,,
ours,Q7496423,,
ours,Q7497524,,
ours,Q7497583,,
ours,Q7497769,,
ours,Q7497782,,
ours,Q7504421,,
ours,Q7504756,,
ours,Q7504802,,
ours,Q7505080,,
ours,Q7505129,,
ours,Q7674280,,
ours,Q7676160,,
ours,Q7677066,,
ours,Q7677156,,
ours,Q7677214,,
ours,Q7677226,,
ours,Q7677320,,
ours,Q7677354,,
ours,Q7677366,,
ours,Q7677369,,
ours,Q7677383,,
ours,Q7678527,,
ours,Q7678536,,
ours,Q7678543,,
ours,Q7678622,,
ours,Q7705291,,
ours,Q7706881,,
ours,Q7706925,,
ours,Q7706956,,
ours,Q7820173,,
ours,Q7827620,,
ours,Q7827692,,
ours,Q784087,,
ours,Q7850039,,
ours,Q7850337,,
ours,Q7850389,,
ours,Q7862709,,
ours,Q7973013,,
ours,Q8046971,,
ours,Q8049965,,
ours,Q8049977,,
ours,Q8049988,,
ours,Q8050022,,
ours,Q8050092,,
ours,Q8050121,,
ours,Q8050128,,
ours,Q8054534,,
ours,Q8054597,,
ours,Q8055323,,
ours,Q8055326,,
ours,Q8055970,,
ours,Q8056061,,
ours,Q8056070,,
ours,Q8056240,,
ours,Q8056243,,
ours,Q8056290,,
ours,Q8056299,,
ours,Q8060529,,
ours,Q8060577,,
ours,Q8062685,,
ours,Q806947,,
ours,Q840609,,
ours,Q9067667,,
ours,Q923428,,
ours,Q926287,,
ours,Q926370,,
ours,Q935199,,
ours,Q978256,,
ours,Q992930,,
ours,Q10856313,1581,http://www.tanakamieko.jp/category/blog/
ours,Q1135729,1581,https://ameblo.jp/gohosono
ours,Q11360320,1581,https://ameblo.jp/ueno-hiroshi/
ours,Q11365989,1581,http://www.hiro-nakamura.jp/?page_id=12
ours,Q11377294,1581,http://hiroshi-i.net/?cat=11
ours,Q11379575,1581,https://ameblo.jp/i-yoshitaka-blog/
ours,Q11384409,1581,http://blog.goo.ne.jp/satohidemichi
ours,Q11395120,1581,http://www.togachan.jp/blog/
ours,Q11396609,1581,https://ameblo.jp/hatsushika-akihiro/
ours,Q11397382,1581,http://www.maedakazuo.jp/blog/
ours,Q11400147,1581,https://ameblo.jp/t-katsumata/
ours,Q11400372,1581,https://ameblo.jp/shige-katsunuma/
ours,Q11412937,1581,http://yoshikawahajime.blog.fc2.com/
ours,Q11413102,1581,http://ameblo.jp/yoshikawatakeru/
ours,Q11422694,1581,http://konosuke.ti-da.net/
ours,Q11425971,1581,http://kiitakashi2009.blog119.fc2.com
ours,Q11454668,1581,https://ameblo.jp/mygwnrk/
ours,Q11462267,1581,http://mkoike.cocolog-nifty.com/blog/
ours,Q11465449,1581,https://asako-omi.jp
ours,Q11466091,1581,https://ameblo.jp/sobo-katamuki/
ours,Q11466249,1581,http://yamanoi.net/
ours,Q11467842,1581,http://tatumaru1979.blog.jp/
ours,Q11468895,1581,https://ameblo.jp/yamamotogosei
ours,Q11475456,1581,http://www.k-iwata.jp/blog
ours,Q11518735,1581,https://ameblo.jp/kimurataketsuka/
ours,Q11522313,1581,http://blog.livedoor.jp/sugitamio/
ours,Q11534806,1581,https://ameblo.jp/shibatatakumi/
ours,Q11545768,1581,http://s-takei.seesaa.net/
ours,Q11549401,1581,https://ameblo.jp/mizuno-tomo/
ours,Q11576787,1581,http://tadokoroyoshinori.blogspot.jp/
ours,Q11620603,1581,http://d.hatena.ne.jp/yjochi/
ours,Q11629931,1581,https://ameblo.jp/nishimekosaburo/
ours,Q11638747,1581,http://www.kondokazuya.com/blog/
ours,Q11642258,1581,http://blog.livedoor.jp/akitadog/
ours,Q11646784,1581,https://ameblo.jp/kaneko-megumi/
