db,person,area,party,votes
wikidata,Q21655857,Q11456543,Q21499745,
wikidata,Q21701087,Q6452111,Q327591,
wikidata,Q23907516,Q5878048,Q232595,
wikidata,Q2394829,Q7813811,Q41040535,
wikidata,Q2484652,Q11476528,Q232595,
wikidata,Q2506910,Q5618873,Q232595,
wikidata,Q2576940,Q11384769,Q232595,
wikidata,Q2576975,Q11525655,Q41532587,
wikidata,Q263777,Q10343578,Q41532587,
wikidata,Q265174,Q376715,Q232595,
wikidata,Q276275,Q11663236,Q232595,
wikidata,Q3136350,Q11586035,Q232595,
wikidata,Q337406,Q11525648,Q1061354,
wikidata,Q337762,Q11676841,Q232595,
wikidata,Q3435725,Q11535300,Q327591,
wikidata,Q3482658,Q11474791,Q232595,
wikidata,Q3547232,Q11432909,Q41532587,
wikidata,Q359480,Q11484884,Q232595,
wikidata,Q360395,Q11493668,Q232595,
wikidata,Q369170,Q7813818,Q41040535,
wikidata,Q370385,Q11494342,Q41040535,
wikidata,Q382311,Q11467111,Q232595,
wikidata,Q388496,Q11445240,Q41040535,
wikidata,Q405527,Q11432908,Q232595,
wikidata,Q405533,Q7105539,Q41532587,
wikidata,Q41618899,Q11402999,Q41532587,
wikidata,Q41693423,Q6452111,Q41040535,
wikidata,Q41693816,Q11525651,Q41040535,
wikidata,Q41693822,Q10343531,Q41040535,
wikidata,Q41698739,Q11589207,Q41040535,
wikidata,Q41767957,Q6452106,Q641600,
wikidata,Q41768312,Q6452106,Q21499745,
wikidata,Q41768409,Q11375291,Q641600,
wikidata,Q41768435,Q11375291,Q354239,
wikidata,Q41769795,Q7813802,Q41532587,
wikidata,Q41769890,Q7813802,Q641600,
wikidata,Q41769891,Q7813802,Q354239,
wikidata,Q41769946,Q11102981,Q641600,
wikidata,Q41769947,Q11102981,Q41532587,
wikidata,Q41769948,Q11525650,Q641600,
wikidata,Q41769950,Q11525650,Q41532587,
wikidata,Q41769951,Q11525651,Q641600,
wikidata,Q41769952,Q11525651,Q354239,
wikidata,Q41769955,Q11525652,Q641600,
wikidata,Q41770033,Q11525652,Q327591,
wikidata,Q41770036,Q11525654,Q641600,
wikidata,Q41770041,Q11525655,Q641600,
wikidata,Q41770043,Q7813806,Q354239,
wikidata,Q41770226,Q10343462,Q641600,
wikidata,Q41770228,Q11525656,Q41040535,
wikidata,Q41770229,Q11525659,Q641600,
wikidata,Q41770230,Q11525659,Q41040535,
wikidata,Q41770231,Q11525660,Q641600,
wikidata,Q41770233,Q11525660,Q41532587,
wikidata,Q41770235,Q10971927,Q641600,
wikidata,Q41770236,Q10971927,Q41532587,
wikidata,Q41770239,Q7813811,Q41532587,
wikidata,Q41770450,Q10343508,Q641600,
wikidata,Q41770452,Q10343531,Q641600,
wikidata,Q41770457,Q7813818,Q354239,
wikidata,Q41770460,Q7813822,Q641600,
wikidata,Q41770463,Q7813822,Q41532587,
wikidata,Q41770465,Q11102990,Q641600,
wikidata,Q41770566,Q11403001,Q641600,
wikidata,Q41770567,Q11403001,Q41040535,
wikidata,Q41770570,Q5878053,Q41532587,
wikidata,Q41770571,Q9498886,Q641600,
wikidata,Q41770572,Q9498886,Q21499745,
wikidata,Q41770577,Q5878048,Q354239,
wikidata,Q41770579,Q5878048,Q41532587,
wikidata,Q41770581,Q11403010,Q641600,
wikidata,Q41770583,Q9499044,Q641600,
wikidata,Q41770584,Q4778663,Q641600,
wikidata,Q41770585,Q11662287,Q641600,
wikidata,Q41770587,Q11662287,Q41040535,
wikidata,Q41770589,Q11662288,Q641600,
wikidata,Q41770590,Q11662288,Q354239,
wikidata,Q41770593,Q11662288,Q41040535,
wikidata,Q41770594,Q11662288,Q232595,
wikidata,Q41770595,Q49876,Q641600,
wikidata,Q41770601,Q11453772,Q354239,
wikidata,Q41770602,Q11453772,Q41532587,
wikidata,Q41770603,Q11453772,Q21499745,
wikidata,Q41770605,Q11453778,Q641600,
wikidata,Q41770606,Q11453778,Q41040535,
wikidata,Q41770609,Q11453779,Q41040535,
wikidata,Q41770610,Q11453781,Q641600,
wikidata,Q41770611,Q11595528,Q641600,
wikidata,Q41770613,Q11595529,Q641600,
wikidata,Q41770614,Q11595529,Q41040535,
wikidata,Q41770615,Q8047616,Q641600,
wikidata,Q41770616,Q8047616,Q41040535,
wikidata,Q41770618,Q11468571,Q641600,
wikidata,Q41770619,Q11468573,Q641600,
wikidata,Q41770620,Q11468573,Q354239,
wikidata,Q41770622,Q11593328,Q641600,
wikidata,Q41770623,Q11593328,Q41040535,
wikidata,Q41770624,Q5507720,Q641600,
wikidata,Q41770625,Q5507720,Q232595,
wikidata,Q41770626,Q11593331,Q641600,
wikidata,Q41770628,Q11593331,Q835109,
wikidata,Q41770630,Q11593333,Q641600,
wikidata,Q41770631,Q11593333,Q835109,
wikidata,Q41770632,Q11617501,Q641600,
wikidata,Q41770634,Q11617501,Q354239,
wikidata,Q41770635,Q11617503,Q641600,
wikidata,Q41770636,Q11617504,Q641600,
wikidata,Q41770639,Q5983712,Q641600,
wikidata,Q41770640,Q11617507,Q641600,
wikidata,Q41770642,Q11617507,Q41040535,
wikidata,Q41770643,Q11617508,Q641600,
wikidata,Q41770646,Q11617508,Q41040535,
wikidata,Q41770647,Q11617508,Q232595,
wikidata,Q41770649,Q11617509,Q641600,
wikidata,Q41770650,Q11535297,Q641600,
wikidata,Q41770651,Q11535297,Q327591,
wikidata,Q41770653,Q56855,Q641600,
wikidata,Q41770655,Q56855,Q354239,
wikidata,Q41770656,Q11535301,Q641600,
wikidata,Q41770657,Q11535301,Q41040535,
wikidata,Q41770658,Q11535303,Q641600,
wikidata,Q41770659,Q5618871,Q641600,
wikidata,Q41770662,Q11609702,Q641600,
wikidata,Q41770664,Q11609704,Q41532587,
wikidata,Q41770665,Q5618873,Q641600,
wikidata,Q41770666,Q11609705,Q641600,
wikidata,Q41770667,Q11609705,Q835109,
wikidata,Q41770669,Q11426787,Q641600,
wikidata,Q41770670,Q11426788,Q641600,
wikidata,Q41770671,Q11426788,Q41040535,
wikidata,Q41770673,Q11426787,Q41040535,
wikidata,Q41770675,Q11426789,Q835109,
wikidata,Q41770677,Q11426791,Q641600,
wikidata,Q41770678,Q11426791,Q21499745,
wikidata,Q41770679,Q11426793,Q641600,
wikidata,Q41770680,Q11426795,Q641600,
wikidata,Q41770682,Q11426795,Q41040535,
wikidata,Q41770685,Q7402528,Q354239,
wikidata,Q41770686,Q7402528,Q41532587,
wikidata,Q41770687,Q11426798,Q641600,
wikidata,Q41770688,Q11426798,Q41040535,
wikidata,Q41770689,Q11426798,Q21499745,
wikidata,Q41770690,Q11426798,Q232595,
wikidata,Q41770692,Q11426801,Q641600,
wikidata,Q41770694,Q11426803,Q641600,
wikidata,Q41770695,Q11426805,Q641600,
wikidata,Q41770696,Q11426804,Q641600,
wikidata,Q41770697,Q11426804,Q41040535,
wikidata,Q41770698,Q11406376,Q641600,
wikidata,Q41770700,Q11406377,Q641600,
wikidata,Q41770702,Q11406377,Q41040535,
wikidata,Q41770703,Q11406378,Q641600,
wikidata,Q41770705,Q11406378,Q835109,
wikidata,Q41770706,Q11406379,Q41532587,
wikidata,Q41770708,Q11406380,Q641600,
wikidata,Q41770709,Q11406381,Q641600,
wikidata,Q41770711,Q11406381,Q41532587,
wikidata,Q41770712,Q11406381,Q21499745,
wikidata,Q41770714,Q5095299,Q641600,
wikidata,Q41770715,Q5095299,Q232595,
wikidata,Q41770719,Q11406387,Q21499745,
wikidata,Q41770721,Q11406389,Q641600,
wikidata,Q41770722,Q11406389,Q41532587,
wikidata,Q41770723,Q11406388,Q641600,
wikidata,Q41770724,Q11406390,Q641600,
wikidata,Q41770725,Q6360240,Q41040535,
wikidata,Q41770726,Q6360245,Q641600,
wikidata,Q41770727,Q6360245,Q354239,
wikidata,Q41770729,Q11589208,Q641600,
wikidata,Q41770730,Q11589208,Q41040535,
wikidata,Q41770731,Q11589209,Q641600,
wikidata,Q41770734,Q11589211,Q835109,
wikidata,Q41770735,Q11589210,Q641600,
wikidata,Q41770737,Q11589212,Q641600,
wikidata,Q41770740,Q6360252,Q641600,
wikidata,Q41770741,Q6360252,Q41532587,
wikidata,Q41770742,Q11589215,Q641600,
wikidata,Q41770743,Q11589215,Q354239,
wikidata,Q41770746,Q11589219,Q41532587,
wikidata,Q41770747,Q11589221,Q641600,
wikidata,Q41770750,Q11589222,Q21499745,
wikidata,Q41770751,Q11589213,Q641600,
wikidata,Q41770753,Q11589224,Q41532587,
wikidata,Q41770754,Q11589223,Q641600,
wikidata,Q41770755,Q11589225,Q641600,
wikidata,Q41770763,Q11503151,Q641600,
wikidata,Q41770766,Q7034372,Q354239,
wikidata,Q41770770,Q11503158,Q327591,
wikidata,Q41770773,Q11456545,Q835109,
wikidata,Q41770774,Q11456548,Q641600,
wikidata,Q41770775,Q11456543,Q641600,
wikidata,Q41770776,Q11586035,Q641600,
wikidata,Q41770779,Q6080258,Q641600,
wikidata,Q41770780,Q6080258,Q354239,
wikidata,Q41770781,Q6080258,Q41040535,
wikidata,Q41770782,Q11586036,Q641600,
wikidata,Q41770784,Q11586036,Q232595,
wikidata,Q41770785,Q11591498,Q641600,
wikidata,Q41770788,Q11591498,Q41040535,
wikidata,Q41770789,Q11591499,Q641600,
wikidata,Q41770791,Q4356088,Q641600,
wikidata,Q41770792,Q4356088,Q354239,
wikidata,Q41770793,Q11469742,Q641600,
wikidata,Q41770795,Q11469742,Q41532587,
wikidata,Q41770800,Q11654363,Q21499745,
wikidata,Q41770804,Q11654364,Q21499745,
wikidata,Q41770805,Q11654365,Q641600,
wikidata,Q41770806,Q11654365,Q354239,
wikidata,Q41770808,Q11654368,Q641600,
wikidata,Q41770813,Q11654371,Q41040535,
wikidata,Q41770814,Q11471571,Q354239,
wikidata,Q41770815,Q11663236,Q641600,
wikidata,Q41770816,Q11663245,Q41040535,
wikidata,Q41770817,Q11663236,Q41532587,
wikidata,Q41770818,Q11663238,Q641600,
wikidata,Q41770820,Q11663238,Q41040535,
wikidata,Q41770822,Q11663243,Q641600,
wikidata,Q41770824,Q11663244,Q641600,
wikidata,Q41770826,Q11663245,Q641600,
wikidata,Q41770828,Q11663246,Q641600,
wikidata,Q41770830,Q11494336,Q641600,
wikidata,Q41770834,Q11494337,Q641600,
wikidata,Q41770835,Q11494340,Q641600,
wikidata,Q41770837,Q11494339,Q641600,
wikidata,Q41770839,Q11494339,Q41040535,
wikidata,Q41770844,Q11494341,Q41040535,
wikidata,Q41770846,Q4696552,Q835109,
wikidata,Q41770847,Q11494344,Q641600,
wikidata,Q41770848,Q11469742,Q41040535,
wikidata,Q41770850,Q4696552,Q641600,
wikidata,Q41770851,Q11494353,Q641600,
wikidata,Q41770852,Q11494354,Q641600,
wikidata,Q41770856,Q6843509,Q641600,
wikidata,Q41770857,Q6843509,Q354239,
wikidata,Q41770859,Q11357847,Q641600,
wikidata,Q41770863,Q11564691,Q354239,
wikidata,Q41770864,Q11564692,Q641600,
wikidata,Q41770866,Q11564692,Q41040535,
wikidata,Q41770867,Q11564693,Q641600,
wikidata,Q41770869,Q11564693,Q232595,
wikidata,Q41770872,Q6452111,Q641600,
wikidata,Q41770873,Q6452111,Q232595,
wikidata,Q41770877,Q11375292,Q641600,
wikidata,Q41770880,Q376715,Q641600,
wikidata,Q41770882,Q376715,Q21499745,
wikidata,Q41770883,Q6360245,Q41040535,
wikidata,Q41770884,Q11441203,Q641600,
wikidata,Q41770885,Q11441203,Q41532587,
wikidata,Q41770886,Q11441204,Q641600,
wikidata,Q41770887,Q11441205,Q641600,
wikidata,Q41770889,Q11441206,Q641600,
wikidata,Q41770890,Q11441209,Q641600,
wikidata,Q41770892,Q11393158,Q41040535,
wikidata,Q41770893,Q7105540,Q641600,
wikidata,Q41770894,Q11441208,Q641600,
wikidata,Q41770896,Q11441208,Q41532587,
wikidata,Q41770898,Q11441213,Q641600,
wikidata,Q41770900,Q11441214,Q21499745,
wikidata,Q41770901,Q17221683,Q641600,
wikidata,Q41770903,Q17221683,Q354239,
wikidata,Q41770904,Q17221683,Q41532587,
wikidata,Q41770906,Q7105541,Q641600,
wikidata,Q41770908,Q7105541,Q21499745,
wikidata,Q41770909,Q11441222,Q641600,
wikidata,Q41770911,Q11441222,Q41532587,
wikidata,Q41770915,Q11393144,Q641600,
wikidata,Q41770918,Q11393145,Q641600,
wikidata,Q41770920,Q11393145,Q41040535,
wikidata,Q41770922,Q11393148,Q641600,
wikidata,Q41770924,Q11393148,Q327591,
wikidata,Q41770925,Q11393149,Q641600,
wikidata,Q41770926,Q11393149,Q41040535,
wikidata,Q41770927,Q11393152,Q641600,
wikidata,Q41770929,Q11393152,Q327591,
wikidata,Q41770931,Q11393156,Q41532587,
wikidata,Q41770933,Q11393157,Q641600,
wikidata,Q41770936,Q11393158,Q327591,
wikidata,Q41770938,Q11445240,Q641600,
wikidata,Q41770939,Q11445240,Q21499745,
wikidata,Q41770941,Q6965225,Q641600,
wikidata,Q41770942,Q11445241,Q641600,
wikidata,Q41770943,Q11417481,Q641600,
wikidata,Q41770945,Q11417484,Q641600,
wikidata,Q41770946,Q11417484,Q41040535,
wikidata,Q41770948,Q7960863,Q641600,
wikidata,Q41770949,Q7828499,Q641600,
wikidata,Q41770951,Q11674598,Q641600,
wikidata,Q41770953,Q11476528,Q835109,
wikidata,Q41770956,Q11476528,Q641600,
wikidata,Q41770959,Q11472351,Q641600,
wikidata,Q41770960,Q11472351,Q354239,
wikidata,Q41770961,Q11472353,Q641600,
wikidata,Q41770962,Q7081866,Q641600,
wikidata,Q41770963,Q11472354,Q641600,
wikidata,Q41770965,Q11484884,Q641600,
wikidata,Q41770967,Q11484886,Q641600,
wikidata,Q41770968,Q11484886,Q354239,
wikidata,Q41770969,Q11484886,Q21499745,
wikidata,Q41770971,Q11484887,Q354239,
wikidata,Q41770972,Q11484889,Q641600,
wikidata,Q41770973,Q11484889,Q327591,
wikidata,Q41770974,Q11484891,Q641600,
wikidata,Q41770976,Q5771187,Q641600,
wikidata,Q41770978,Q5771187,Q41040535,
wikidata,Q41770979,Q11467107,Q641600,
wikidata,Q41770980,Q11467107,Q354239,
wikidata,Q41770981,Q11467107,Q41040535,
wikidata,Q41770983,Q11467109,Q641600,
wikidata,Q41770986,Q11467112,Q641600,
wikidata,Q41770988,Q7813763,Q641600,
wikidata,Q41770989,Q11489990,Q641600,
wikidata,Q41770991,Q11489990,Q354239,
wikidata,Q41770992,Q11667406,Q641600,
wikidata,Q41770994,Q11667408,Q835109,
wikidata,Q41770995,Q11493668,Q641600,
wikidata,Q41770996,Q11493668,Q41040535,
wikidata,Q41770998,Q11493670,Q641600,
wikidata,Q41770999,Q11493673,Q641600,
wikidata,Q41771001,Q11493673,Q354239,
wikidata,Q41771003,Q11493673,Q232595,
wikidata,Q41771004,Q11672488,Q641600,
wikidata,Q41771005,Q11672488,Q41040535,
wikidata,Q41771007,Q11592613,Q41040535,
wikidata,Q41771008,Q11592613,Q835109,
wikidata,Q41771009,Q11592614,Q641600,
wikidata,Q41771010,Q11592616,Q641600,
wikidata,Q41771012,Q11592620,Q641600,
wikidata,Q41771013,Q11592622,Q641600,
wikidata,Q41771014,Q11592623,Q641600,
wikidata,Q41771016,Q11592623,Q354239,
wikidata,Q41771018,Q11592623,Q327591,
wikidata,Q41771019,Q11592624,Q641600,
wikidata,Q41771020,Q11592624,Q41040535,
wikidata,Q41771021,Q5507680,Q641600,
wikidata,Q41771024,Q7398896,Q354239,
wikidata,Q41771025,Q11384769,Q641600,
wikidata,Q41771026,Q6958596,Q641600,
wikidata,Q41771028,Q6958596,Q41040535,
wikidata,Q41771029,Q6958601,Q641600,
wikidata,Q41771031,Q251994,Q641600,
wikidata,Q41771033,Q251994,Q41040535,
wikidata,Q41771035,Q11652769,Q641600,
wikidata,Q41771036,Q11568327,Q354239,
wikidata,Q41771037,Q11568327,Q327591,
wikidata,Q41771038,Q11568327,Q835109,
wikidata,Q41771040,Q11568329,Q641600,
wikidata,Q41771042,Q11432906,Q641600,
wikidata,Q41771044,Q11432908,Q354239,
wikidata,Q41771045,Q11454477,Q641600,
wikidata,Q41771046,Q11454479,Q641600,
wikidata,Q41771047,Q11454479,Q354239,
wikidata,Q41771049,Q11454481,Q641600,
wikidata,Q41771051,Q11676837,Q327591,
wikidata,Q41771052,Q11676838,Q641600,
wikidata,Q41771054,Q6346640,Q641600,
wikidata,Q41771055,Q11676841,Q835109,
wikidata,Q41771057,Q11552835,Q354239,
wikidata,Q41771058,Q11552837,Q354239,
wikidata,Q41771060,Q11552839,Q354239,
wikidata,Q41771061,Q11663245,Q41532587,
wikidata,Q41771063,Q11467111,Q41532587,
wikidata,Q41777897,Q11426793,Q21499745,
wikidata,Q41777898,Q11593328,Q21499745,
wikidata,Q41777900,Q11426792,Q21499745,
wikidata,Q41777902,Q5095299,Q21499745,
wikidata,Q41777904,Q11393149,Q21499745,
wikidata,Q41777909,Q251994,Q21499745,
wikidata,Q41777912,Q11417484,Q21499745,
wikidata,Q41777915,Q7402528,Q21499745,
wikidata,Q41777916,Q11441203,Q21499745,
wikidata,Q41777917,Q11467107,Q232595,
wikidata,Q41777971,Q11525658,Q835109,
wikidata,Q41794089,Q11471571,Q327591,
wikidata,Q41794090,Q11471573,Q641600,
wikidata,Q41794091,Q11471575,Q641600,
wikidata,Q41794095,Q11471577,Q641600,
wikidata,Q41794096,Q11471576,Q232595,
wikidata,Q41794100,Q6452102,Q641600,
wikidata,Q41794101,Q6452102,Q232595,
wikidata,Q41805155,Q11503154,Q327591,
wikidata,Q41805158,Q11494338,Q641600,
wikidata,Q41805160,Q7402528,Q41040535,
wikidata,Q41805161,Q11484889,Q41040535,
wikidata,Q41805165,Q11654364,Q835109,
wikidata,Q41805166,Q11525648,Q354239,
wikidata,Q41805169,Q11441213,Q327591,
wikidata,Q41805175,Q10343578,Q327591,
wikidata,Q41805177,Q56855,Q41040535,
wikidata,Q41805181,Q11494346,Q41040535,
wikidata,Q41805182,Q11676837,Q232595,
wikidata,Q41805183,Q11595531,Q641600,
wikidata,Q41805187,Q7813807,Q41040535,
wikidata,Q41805188,Q11426800,Q41040535,
wikidata,Q41805193,Q11494348,Q641600,
wikidata,Q41805194,Q11525651,Q327591,
wikidata,Q41805198,Q11589221,Q41040535,
wikidata,Q41805200,Q10343462,Q41040535,
wikidata,Q41805201,Q6965225,Q41040535,
wikidata,Q41805203,Q7813822,Q354239,
wikidata,Q41805206,Q11453779,Q641600,
wikidata,Q41805207,Q7402528,Q327591,
wikidata,Q41805210,Q7813802,Q327591,
wikidata,Q41805211,Q11493674,Q641600,
wikidata,Q41805214,Q11609705,Q41040535,
wikidata,Q41805215,Q11564691,Q327591,
wikidata,Q41805219,Q7813806,Q354239,
wikidata,Q41805221,Q11589215,Q327591,
wikidata,Q41805222,Q11406386,Q41040535,
wikidata,Q41805223,Q11471576,Q641600,
wikidata,Q41805226,Q11589223,Q354239,
wikidata,Q41805227,Q11393144,Q41040535,
wikidata,Q41805230,Q11592614,Q41040535,
wikidata,Q41805232,Q11484890,Q641600,
wikidata,Q41805240,Q7813806,Q41040535,
wikidata,Q41805246,Q11589224,Q41040535,
wikidata,Q41805248,Q11471571,Q327591,
wikidata,Q41805249,Q10959517,Q641600,
wikidata,Q41805251,Q11426789,Q41040535,
wikidata,Q41805252,Q11525660,Q41040535,
wikidata,Q41805253,Q11654363,Q354239,
wikidata,Q41805257,Q11617504,Q41040535,
wikidata,Q41805263,Q11472349,Q41040535,
wikidata,Q41805265,Q11484887,Q327591,
wikidata,Q41805267,Q11393154,Q641600,
wikidata,Q41805270,Q11454481,Q41040535,
wikidata,Q41805272,Q11589219,Q41040535,
wikidata,Q41805273,Q11393152,Q41040535,
wikidata,Q41805274,Q11676838,Q41040535,
wikidata,Q41805275,Q11525654,Q41040535,
wikidata,Q41805276,Q11472353,Q327591,
wikidata,Q41805279,Q6360252,Q41040535,
wikidata,Q41805282,Q11484887,Q327591,
wikidata,Q41805284,Q6958601,Q41040535,
wikidata,Q41805285,Q11484891,Q41040535,
wikidata,Q41805289,Q11453772,Q41040535,
wikidata,Q41805290,Q6452106,Q327591,
wikidata,Q41805291,Q11467112,Q41040535,
wikidata,Q41805293,Q7496287,Q835109,
wikidata,Q41805295,Q11494341,Q641600,
wikidata,Q41805296,Q11441208,Q354239,
wikidata,Q41805300,Q11393156,Q41040535,
wikidata,Q41805301,Q11406381,Q41040535,
wikidata,Q41805303,Q11467112,Q327591,
wikidata,Q41805312,Q11102990,Q327591,
wikidata,Q41805313,Q11676838,Q327591,
wikidata,Q41805318,Q11467112,Q327591,
wikidata,Q41805320,Q11102981,Q41040535,
wikidata,Q41805323,Q11393146,Q641600,
wikidata,Q41805325,Q10343578,Q41040535,
wikidata,Q41805326,Q11453772,Q327591,
wikidata,Q41805327,Q11102990,Q41040535,
wikidata,Q41805338,Q11426786,Q641600,
wikidata,Q418206,Q11476527,Q41532587,
wikidata,Q418675,Q11589208,Q232595,
wikidata,Q419010,Q11472353,Q41040535,
wikidata,Q42290522,Q11663242,Q41040535,
wikidata,Q42290611,Q11663242,Q641600,
wikidata,Q455848,Q11609705,Q232595,
wikidata,Q456011,Q11441212,Q41532587,
wikidata,Q459698,Q11471571,Q232595,
wikidata,Q459998,Q11474793,Q327591,
wikidata,Q467453,Q11472349,Q232595,
wikidata,Q4700938,Q11453778,Q232595,
wikidata,Q4700952,Q11525658,Q41040535,
wikidata,Q47846,Q7813807,Q41532587,
wikidata,Q4803390,Q11592625,Q232595,
wikidata,Q4817826,Q11426801,Q41040535,
wikidata,Q49875,Q49876,Q41040535,
wikidata,Q49943,Q11468571,Q41040535,
wikidata,Q49949,Q11593333,Q232595,
wikidata,Q49969,Q11453781,Q232595,
wikidata,Q49988,Q11595531,Q232595,
wikidata,Q49996,Q11453776,Q232595,
wikidata,Q49998,Q11662287,Q232595,
wikidata,Q506730,Q10343508,Q232595,
wikidata,Q5100105,Q11503150,Q41532587,
wikidata,Q513317,Q6843509,Q327591,
wikidata,Q516232,Q11589207,Q41532587,
wikidata,Q5209113,Q11595528,Q41040535,
wikidata,Q5209617,Q11589213,Q232595,
wikidata,Q5209645,Q11484886,Q41040535,
wikidata,Q5209856,Q11592622,Q41040535,
wikidata,Q529792,Q11426795,Q232595,
wikidata,Q5349200,Q11503151,Q327591,
wikidata,Q5371065,Q11593326,Q327591,
wikidata,Q548239,Q7398896,Q327591,
wikidata,Q5508556,Q10343578,Q232595,
wikidata,Q5517695,Q7081866,Q232595,
wikidata,Q5530859,Q11672488,Q232595,
wikidata,Q5637084,Q11589215,Q232595,
wikidata,Q5639959,Q11535297,Q232595,
wikidata,Q5639964,Q11672489,Q327591,
wikidata,Q5680924,Q11525655,Q232595,
wikidata,Q5752395,Q11426800,Q232595,
wikidata,Q5752415,Q4696552,Q232595,
wikidata,Q57647,Q5095299,Q327591,
wikidata,Q5770152,Q11589225,Q41040535,
wikidata,Q5770251,Q11406383,Q232595,
wikidata,Q5770815,Q11484886,Q232595,
wikidata,Q5770884,Q5983712,Q232595,
wikidata,Q5770910,Q11676837,Q41532587,
wikidata,Q5771003,Q11384769,Q41040535,
wikidata,Q5772420,Q11564693,Q41040535,
wikidata,Q58213,Q5507720,Q327591,
wikidata,Q582685,Q4696554,Q41532587,
wikidata,Q5986289,Q11654371,Q232595,
wikidata,Q6088170,Q11564691,Q41040535,
wikidata,Q6094931,Q11454477,Q41040535,
wikidata,Q6102348,Q11593333,Q41040535,
wikidata,Q6140382,Q11592625,Q41040535,
wikidata,Q6142027,Q11663241,Q41040535,
wikidata,Q614464,Q11441205,Q232595,
wikidata,Q6144675,Q11525658,Q354239,
wikidata,Q614476,Q10343462,Q232595,
wikidata,Q6203082,Q11589209,Q232595,
wikidata,Q6311513,Q6360246,Q232595,
wikidata,Q6314413,Q11667404,Q41040535,
wikidata,Q6360573,Q11406380,Q41040535,
wikidata,Q6378065,Q11525654,Q232595,
wikidata,Q6378155,Q11472354,Q232595,
wikidata,Q6381578,Q11406388,Q41040535,
wikidata,Q6381615,Q6360240,Q232595,
wikidata,Q6381645,Q11441207,Q1061354,
wikidata,Q6381788,Q11393148,Q1061354,
wikidata,Q6381814,Q11426801,Q232595,
wikidata,Q6383646,Q11375290,Q641600,
wikidata,Q6383690,Q11617509,Q232595,
wikidata,Q6383814,Q11375291,Q41040535,
wikidata,Q6383909,Q11589224,Q232595,
wikidata,Q6383911,Q11472351,Q41040535,
wikidata,Q6389276,Q11564691,Q232595,
wikidata,Q6389323,Q11589223,Q327591,
wikidata,Q6389383,Q11102988,Q232595,
wikidata,Q6389412,Q9498886,Q41040535,
wikidata,Q6391984,Q6452106,Q41040535,
wikidata,Q6416606,Q11617509,Q327591,
wikidata,Q6419134,Q11445241,Q41040535,
wikidata,Q6426211,Q11525660,Q232595,
wikidata,Q6426239,Q11426793,Q41040535,
wikidata,Q6426240,Q11393154,Q232595,
wikidata,Q6426244,Q11493674,Q232595,
wikidata,Q6426248,Q11393156,Q21499745,
wikidata,Q6426455,Q11484890,Q41040535,
wikidata,Q6433881,Q11469742,Q327591,
wikidata,Q6435116,Q11535300,Q232595,
wikidata,Q6435368,Q11592612,Q232595,
wikidata,Q653000,Q11494346,Q41532587,
wikidata,Q661410,Q6360245,Q232595,
wikidata,Q6739516,Q11503156,Q327591,
wikidata,Q6746574,Q11589221,Q232595,
wikidata,Q6782264,Q10343531,Q232595,
wikidata,Q6782350,Q11426805,Q232595,
wikidata,Q6782391,Q11393146,Q232595,
wikidata,Q6782686,Q7813807,Q232595,
wikidata,Q6782738,Q11417484,Q232595,
wikidata,Q6782819,Q7813763,Q232595,
wikidata,Q6837954,Q7081866,Q41040535,
wikidata,Q6842917,Q11525651,Q232595,
wikidata,Q6864590,Q11102988,Q41040535,
wikidata,Q6869306,Q11484891,Q232595,
wikidata,Q6882969,Q11654364,Q41040535,
wikidata,Q6883317,Q11494354,Q41040535,
wikidata,Q704345,Q11393145,Q232595,
wikidata,Q7046134,Q11406387,Q41040535,
wikidata,Q7051315,Q11357847,Q232595,
wikidata,Q729599,Q11375290,Q232595,
wikidata,Q730991,Q11525650,Q232595,
wikidata,Q732087,Q11426800,Q41532587,
wikidata,Q7385287,Q11441223,Q835109,
wikidata,Q7385320,Q11674598,Q232595,
wikidata,Q7385322,Q11426792,Q232595,
wikidata,Q7385342,Q11592613,Q232595,
wikidata,Q7426418,Q11426792,Q41040535,
wikidata,Q7426422,Q11393146,Q21499745,
wikidata,Q7446686,Q11652769,Q232595,
wikidata,Q7446719,Q11493670,Q232595,
wikidata,Q7446737,Q9498966,Q327591,
wikidata,Q7446761,Q11552835,Q641600,
wikidata,Q7477634,Q4356088,Q232595,
wikidata,Q7496342,Q11441213,Q1061354,
wikidata,Q7496422,Q11654368,Q232595,
wikidata,Q7497524,Q11494338,Q41040535,
wikidata,Q7497583,Q10971927,Q232595,
wikidata,Q7497782,Q11453779,Q232595,
wikidata,Q7504421,Q11663244,Q41040535,
wikidata,Q7504756,Q11503158,Q232595,
wikidata,Q7504802,Q11432906,Q41040535,
wikidata,Q7505080,Q11489990,Q232595,
wikidata,Q7505129,Q11654364,Q232595,
wikidata,Q7674280,Q11494353,Q232595,
wikidata,Q7676160,Q11426786,Q232595,
wikidata,Q7677066,Q11403009,Q41532587,
wikidata,Q7677156,Q9498886,Q232595,
wikidata,Q7677226,Q7813818,Q232595,
wikidata,Q7677320,Q11609702,Q41040535,
wikidata,Q7677354,Q10959517,Q41040535,
wikidata,Q7677366,Q11441222,Q232595,
wikidata,Q7677369,Q11654363,Q327591,
wikidata,Q7677383,Q11441204,Q21499745,
wikidata,Q7678527,Q11454479,Q232595,
wikidata,Q7678536,Q11426804,Q232595,
wikidata,Q7678622,Q11667404,Q232595,
