解説→,https://hackmd.io/OwFgxgnBBmCMsFoBMATaBWBIkEMUKgA5EAGCFAUwDYwkR0SBmdIA,,,,
進捗率(完了日をカウント)→,42.61%,,,,
Wikidata ID,name,,,,
UI用DBカラム名,name_full,name_last,name_first,,
wikdiata_concept,label,,,,
wikidata,名前（フル）,名前（姓）,名前（名）,,
Q8049977,葉梨康弘,葉梨,康弘,Loading...,
Q41770639,堀江鶴治,堀江,鶴治,Loading...,
Q5770884,梶山弘志,梶山,弘志,Loading...,
Q11437735,大熊利昭,大熊,利昭,Loading...,
Q11585840,石川昭政,石川,昭政,Loading...,
Q41770640,川崎篤子,川崎,篤子,Loading...,
Q41770642,浅野哲,浅野,哲,Loading...,
Q41770643,古沢喜幸,古沢,喜幸,Loading...,
Q41770646,青山大人,青山,大人,Loading...,
Q41770647,国光文乃,国光,文乃,Loading...,
Q6383690,永岡桂子,永岡,桂子,Loading...,
Q41770649,石嶋巌,石嶋,巌,Loading...,
Q6416606,中村喜四郎,中村,喜四郎,Loading...,
Q41770650,青木弘,青木,弘,Loading...,
Q11533657,柏倉祐司,柏倉,祐司,Loading...,
Q41770651,渡辺典喜,渡辺,典喜,Loading...,
Q5639959,船田元,船田,元,Loading...,
Q6435116,西川公也,西川,公也,Loading...,
Q3435725,福田昭夫,福田,昭夫,Loading...,
Q41770653,槙昌三,槙,昌三,Loading...,
Q41770655,石渡剛,石渡,剛,Loading...,
Q11603860,簗和生,簗,和生,Loading...,
Q41770656,山崎寿彦,山崎,寿彦,Loading...,
Q1133360,佐藤勉,佐藤,勉,Loading...,
Q41770657,藤岡隆雄,藤岡,隆雄,Loading...,
Q41770658,川上均,川上,均,Loading...,別人
Q11439189,大豆生田実,大豆生田実,実,Loading...,
Q1655453,茂木敏充,茂木,敏充,Loading...,
Q11454258,宮崎岳志,宮崎,岳志,Loading...,
Q11465449,尾身朝子,尾身,朝子,Loading...,
Q41770659,店橋世津子,店橋,世津子,Loading...,
Q7677320,石関貴史,石関,貴史,Loading...,
Q41770662,長谷田直之,長谷田,直之,Loading...,
Q11373778,井野俊郎,井野,俊郎,Loading...,
Q41770664,長谷川嘉一,長谷川,嘉一,Loading...,
Q11602573,笹川博義,笹川,博義,Loading...,
Q41770665,萩原貞夫,萩原,貞夫,Loading...,
Q11361823,不破弘樹,不破,弘樹,Loading...,
Q2506910,福田達夫,福田,達夫,Loading...,
Q41770667,高橋宣之,高橋,宣之,Loading...,
Q455848,小渕優子,小渕,優子,Loading...,
Q41770666,伊藤達也,伊藤,達也,Loading...,
Q6426239,武正公一,武正,公一,Loading...,
Q41777897,小檜山清人,,,Loading...,
Q41770679,鳥羽恵,鳥羽,恵,Loading...,
Q11523004,村井英樹,村井,英樹,Loading...,
Q41770680,平川道也,平川,道也,Loading...,
Q41770682,菅克己,菅,克己,Loading...,
Q529792,新藤義孝,新藤,義孝,Loading...,
Q41777915,谷古宇勘司,,,Loading...,
Q41770685,飯田剛,飯田,剛,Loading...,
Q41770686,山川百合子,山川,百合子,Loading...,別人の政治家？？（自民党と共産党で同姓同名？）
Q11677736,黄川田仁志,黄川田,仁志,Loading...,
Q41770687,朝賀英義,朝賀,英義,Loading...,
Q41770688,吉田芳朝,吉田,芳朝,Loading...,
Q41770689,青柳仁士,青柳,仁士,Loading...,
Q41770690,穂坂泰,穂坂,泰,Loading...,
Q11634137,豊田真由子,豊田,真由子,Loading...,
Q5752395,牧原秀樹,牧原,秀樹,Loading...,
Q732087,枝野幸男,枝野,幸男,Loading...,
Q6381814,中根一幸,中根,一幸,Loading...,
Q41770692,戸口佐一,戸口,佐一,Loading...,
Q4817826,大島敦,大島,敦,Loading...,
Q8050022,小宮山泰子,小宮山,泰子,Loading...,
Q41770694,長沼チネ,長沼,チネ,,
Q11589528,神山佐市,神山,佐市,Loading...,
Q11463967,小野塚勝俊,小野塚,勝俊,Loading...,
Q6782350,柴山昌彦,柴山,昌彦,Loading...,
Q41770695,辻源巳,辻,源巳,Loading...,
Q41770696,神田三春,神田,三春,Loading...,
Q41770697,杉村慎治,杉村,慎治,Loading...,
Q7678536,大塚拓,大塚,拓,Loading...,
Q17158714,坂本祐之輔,坂本,祐之輔,Loading...,
Q7676160,山口泰明,山口,泰明,Loading...,
Q17158474,今野智博,今野,智博,Loading...,
Q41770669,柴岡祐真,柴岡,祐真,Loading...,
Q11462582,小泉龍司,小泉,龍司,Loading...,
Q41770670,林秀洋,林,秀洋,Loading...,
Q41770671,森田俊和,森田,俊和,Loading...,
Q11645002,野中厚,野中,厚,Loading...,
Q41770673,三角創太,三角,創太,Loading...,
Q41770675,池田万佐代,池田,万佐代,Loading...,
Q11423241,土屋品子,土屋,品子,Loading...,
Q41770677,苗村京子,苗村,京子,Loading...,
Q11649189,鈴木義弘,鈴木,義弘,Loading...,
Q11353993,三ッ林裕巳,三ッ林,裕巳,Loading...,
Q41770678,榛野博,榛野,博,Loading...,
Q41777900,高橋英明,,,Loading...,
Q18700742,梅村早江子,梅村,早江子,Loading...,
Q18700742,梅村早江子,梅村,早江子,Loading...,
Q7426418,高山智司,高山,智司,Loading...,
Q7385322,田中良生,田中,良生,Loading...,
Q41777954,高橋秀明,,,Loading...,
Q16769971,門山宏哲,門山,宏哲,Loading...,
Q41770708,大野隆,大野,隆,Loading...,
Q6360573,田嶋要,田嶋,要,Loading...,
Q11653978,長谷川豊,長谷川,豊,Loading...,
Q41770709,上野洋嗣,上野,洋嗣,Loading...,
Q11461955,小林鷹之,小林,鷹之,Loading...,
