国領　豊太,国領豊太,国領,豊太,幸福実現党,中国ブロック,,新,35,,https://www.facebook.com/people/%E5%9B%BD%E9%A0%98-%E3%81%B6%E3%82%93%E3%81%9F/100012396186318,http://kokuryo-bunta.com/,党青年局長,35歳,http://shugiin.go2senkyo.com/hirei/chugoku/13/
佐伯　知子,佐伯知子,佐伯,知子,幸福実現党,中国ブロック,,新,38,,https://www.facebook.com/profile.php?id=100007874922516,https://ameblo.jp/saekitomoko/,党中国比例ブロック副支部長,38歳,http://shugiin.go2senkyo.com/hirei/chugoku/13/
加藤　健太,加藤健太,加藤,健太,幸福実現党,中国ブロック,,新,27,,https://www.facebook.com/ppp.ggg.ddm.w,,党中国比例ブロック副支部長,27歳,http://shugiin.go2senkyo.com/hirei/chugoku/13/
柚木　道義,柚木道義,柚木,道義,希望の党,中国ブロック,,前,45,https://twitter.com/yunoki_m,https://www.facebook.com/michiyohi.yunoki,http://www.yuzu.jp/,元財務政務官,45歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
津村　啓介,津村啓介,津村,啓介,希望の党,中国ブロック,,前,45,https://twitter.com/Tsumura_Keisuke,https://www.facebook.com/tsumura1027,http://www.tsumura.org/,元内閣政務官,45歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
湯原　俊二,湯原俊二,湯原,俊二,希望の党,中国ブロック,,元,54,https://twitter.com/shunji_yuhara,https://www.facebook.com/shunji.yuhara.1?fref=ts,https://www.yuhara.net/,元内閣委理事,54歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
松本　大輔,松本大輔,松本,大輔,希望の党,中国ブロック,,元,46,,https://www.facebook.com/dakaradaisuke,http://www.dakara-daisuke.com/,元文科副大臣,46歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
佐藤　広典,佐藤広典,佐藤,広典,希望の党,中国ブロック,,新,41,,https://www.facebook.com/satohironoridp/,http://www.satohironori.com/,元東京都議,41歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
内山　晃,内山晃,内山,晃,希望の党,中国ブロック,,元,63,https://twitter.com/‎uchiyama_akira_,https://www.facebook.com/uchiyamaakira0303,http://www.uchiyama-akira.com/,社会保険労務士,63歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
橋本　琴絵,橋本琴絵,橋本,琴絵,希望の党,中国ブロック,,新,28,https://twitter.com/HashimotoKotoe,https://www.facebook.com/profile.php?id=100022305480751,,音楽著作権管理会社員,28歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
大内　一也,大内一也,大内,一也,希望の党,中国ブロック,,新,44,,https://www.facebook.com/ouchikazuya1010/,https://www.ouchikazuya.com/,元鎌ケ谷市議,44歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
樽井　良和,樽井良和,樽井,良和,希望の党,中国ブロック,,元,50,https://twitter.com/tarui_yoshikazu,https://www.facebook.com/taruipage/,http://taruiyoshikazu.jp/,元衆議院議員,50歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
上野　寛治,上野寛治,上野,寛治,希望の党,中国ブロック,,新,35,,,https://www.uenokanji.com/,福祉介護会社経営,35歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
蜂谷　弘美,蜂谷弘美,蜂谷,弘美,希望の党,中国ブロック,,新,61,,,http://hachiya-hiromi.com/,岡山県議会議員,61歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
藤田　時雄,藤田時雄,藤田,時雄,希望の党,中国ブロック,,新,63,,https://www.facebook.com/%E8%97%A4%E7%94%B0%E3%81%A8%E3%81%8D%E3%81%8A-1486162598127979/,,元会社員,63歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
山口　克也,山口克也,山口,克也,希望の党,中国ブロック,,新,53,,,http://yamaguchikatsuya.net/,不動産管理会社役員,53歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
佐藤　公治,佐藤公治,佐藤,公治,希望の党,中国ブロック,,元,58,https://twitter.com/kouji_satou,https://www.facebook.com/kouj.sato/,http://www.satoukouji.com/,前参議院議員,58歳,http://shugiin.go2senkyo.com/hirei/chugoku/15/
亀井　亜紀子,亀井亜紀子,亀井,亜紀子,立憲民主党,中国ブロック,,新,52,https://twitter.com/kameiakikoweb,,http://akiko-kamei.home-p.info/,元参院議員,52歳,http://shugiin.go2senkyo.com/hirei/chugoku/17/
高井　崇志,高井崇志,高井,崇志,立憲民主党,中国ブロック,,前,48,https://twitter.com/t_takai,https://www.facebook.com/takashi.takai.okayama/,http://takaitakashi.com/,科技特委理事,48歳,http://shugiin.go2senkyo.com/hirei/chugoku/17/
坂本　史子,坂本史子,坂本,史子,立憲民主党,中国ブロック,,新,62,https://twitter.com/SakamotoFumiko,https://www.facebook.com/fumiko.sakamoto.100,http://www.sakamoto-fumiko.com/,目黒区議,62歳,http://shugiin.go2senkyo.com/hirei/chugoku/17/
秋葉　忠利,秋葉忠利,秋葉,忠利,立憲民主党,中国ブロック,,元,74,https://twitter.com/rikenminshu,https://www.facebook.com/profile.php?id=100022467190935,,元広島市長,74歳,http://shugiin.go2senkyo.com/hirei/chugoku/17/
