qname,url,type,ident,dst
Q41770690,https://www.facebook.com/%E7%A9%82%E5%9D%82%E6%B3%B0%E3%81%BB%E3%81%95%E3%81%8B%E3%82%84%E3%81%99%E3%81%97-123169024990139/,page,123169024990139,https://www.facebook.com/%E7%A9%82%E5%9D%82%E6%B3%B0%E3%81%BB%E3%81%95%E3%81%8B%E3%82%84%E3%81%99%E3%81%97-123169024990139/
Q41805188,https://www.facebook.com/takagihidefumi,page,1845263015786053,https://www.facebook.com/takagihidefumi/
Q5752395,https://www.facebook.com/HidekiMacky,page,225591810951873,https://www.facebook.com/HidekiMacky/
Q41770692,https://www.facebook.com/profile.php?id=100014155634094,profile,100014155634094,https://www.facebook.com/profile.php?id=100014155634094
Q6381814,https://www.facebook.com/kazuyuki.nakane.75,profile,100003884713010,https://www.facebook.com/kazuyuki.nakane.75
Q41770694,https://www.facebook.com/tine.naganuma,profile,100008508031426,https://www.facebook.com/tine.naganuma
Q8050022,https://www.facebook.com/yasko.komiyama,profile,100002270611681,https://www.facebook.com/yasko.komiyama
Q11589528,https://www.facebook.com/profile.php?id=100008470713752,profile,100008470713752,https://www.facebook.com/profile.php?id=100008470713752
Q41770695,https://www.facebook.com/jcp.sai,profile,100006230383281,https://www.facebook.com/jcp.sai
Q11463967,https://www.facebook.com/onozuka.masatoshi/,page,371725172991297,https://www.facebook.com/onozuka.masatoshi/
Q6782350,https://www.facebook.com/549728848437286,page,549728848437286,https://www.facebook.com/shibayama.masahiko/
Q7678536,https://www.facebook.com/otsukataku.jimin/,page,267646746707322,https://www.facebook.com/otsukataku.jimin/
Q41805338,https://www.facebook.com/kakinumaharuki,profile,100004404990074,https://www.facebook.com/kakinumaharuki
Q17158714,https://www.facebook.com/sakamotoyunosuke,profile,100002263451756,https://www.facebook.com/sakamotoyunosuke
Q7676160,https://www.facebook.com/taimei.yamaguchi,profile,100003719212355,https://www.facebook.com/taimei.yamaguchi
Q7676160,https://www.facebook.com/yamaguchitaimei,page,1684326675156988,https://www.facebook.com/yamaguchitaimei/
Q41770669,https://www.facebook.com/shibaoka.yuma,profile,100004655284783,https://www.facebook.com/shibaoka.yuma
Q41770673,https://www.facebook.com/%E4%B8%89%E8%A7%92%E3%81%9D%E3%81%86%E3%81%9F-1204851082866298/,page,1204851082866298,https://www.facebook.com/%E4%B8%89%E8%A7%92%E3%81%9D%E3%81%86%E3%81%9F-1204851082866298/
Q11462582,https://www.facebook.com/koizumiryuuji/,page,801742319890488,https://www.facebook.com/koizumiryuuji/
Q17158474,https://www.facebook.com/tomohiro.konno.18,profile,100003969788752,https://www.facebook.com/tomohiro.konno.18
Q17158474,https://www.facebook.com/tomohiro.konno.saitama11,page,989886917793057,https://www.facebook.com/tomohiro.konno.saitama11/
Q41770671,https://www.facebook.com/MORIMORI.MORITA.TOSHIKAZU,profile,100002201904074,https://www.facebook.com/MORIMORI.MORITA.TOSHIKAZU
