みなと侑子,みなと 侑子,みなと ゆうこ,,比例近畿ブロック,https://www.facebook.com/miw.wld,,http://ameblo.jp/minatoyuko/,近畿比例ブロック副支部長,https://candidates.hr-party.jp/elections/2017/1185/
西本あつし,西本 あつし,にしもと あつし,,比例近畿ブロック,https://www.facebook.com/Atsushi.Nishimoto7,,,幸福実現党 和歌山県本部代表（兼）近畿比例ブロック副支部長,https://candidates.hr-party.jp/elections/2017/1185/
田中たかこ,田中 たかこ,たなか たかこ,,比例近畿ブロック,https://www.facebook.com/jitsugen.takako,,http://ameblo.jp/tanakatakako/,近畿比例ブロック副支部長,https://candidates.hr-party.jp/elections/2017/1185/
泉章子,泉 章子,いずみ しょうこ,,比例近畿ブロック,,,,近畿比例ブロック副支部長,https://candidates.hr-party.jp/elections/2017/1185/
油淺頌子,油淺 頌子,ゆあさ ようこ,,比例近畿ブロック,,,,近畿比例ブロック副支部長,https://candidates.hr-party.jp/elections/2017/1185/
国領ぶんた,国領 ぶんた,こくりょう ぶんた,,比例中国ブロック,,,,幸福実現党 青年局長（兼）選対委員長代理（兼）中国比例ブロック支部長,https://candidates.hr-party.jp/elections/2017/1185/
佐伯知子,佐伯 知子,さえき ともこ,,比例中国ブロック,https://www.facebook.com/profile.php?id=100007874922516&fref=ts,,http://ameblo.jp/saekitomoko/,幸福実現党 広島県本部 副代表,https://candidates.hr-party.jp/elections/2017/1185/
加藤健太,加藤 健太,かとう けんた,,比例中国ブロック,,,,中国比例ブロック副支部長,https://candidates.hr-party.jp/elections/2017/1185/
中西りえ,中西 りえ,なかにし りえ,,比例四国ブロック,https://www.facebook.com/nakanishirie.hrp,,http://ameblo.jp/nakanishirie/,四国比例ブロック支部長,https://candidates.hr-party.jp/elections/2017/1185/
桃田妙子,桃田 妙子,ももた たえこ,,比例四国ブロック,,,,四国比例ブロック副支部長,https://candidates.hr-party.jp/elections/2017/1185/
江夏正敏,江夏 正敏,えなつ まさとし,,比例九州・沖縄ブロック,https://www.facebook.com/Enatsu.Masatoshi.HR,https://twitter.com/EnatsuMasatoshi,,幸福実現党 政務調査会長（兼）HS政経塾塾長（兼）九州比例ブロック支部長,https://candidates.hr-party.jp/elections/2017/1185/
よしとみ和枝,よしとみ 和枝,よしとみ かずえ,,比例九州・沖縄ブロック,https://www.facebook.com/kazue.yoshitomi?fref=ts,https://twitter.com/yoshitomi_kazue,,九州比例ブロック副支部長,https://candidates.hr-party.jp/elections/2017/1185/
