Wikidata ID,name,,,name in hiragana,party short name,prefecuture code for sort key,,area 1(proportionally represented constituency),area 2(small electoral district),gender,birthday,age(calculated),,image,,Facebook profile ID,official Facebook page,LINE,YouTube channel ID,,official site,e-mail,official blog,described at URL,place of birth,biography,,occupation,position held,father,spouse,memorandom,Wikidata ID（参考情報）,Wikipedia URL（参考情報）,,,
UI用DBカラム名,name_full,name_last,name_first,name_full_furigana,pary_id,pref_code,senkyoku_no,hirei_area_id,,gender,birth_day,,birth_year,photo_url,twitter_id,facebook_id,facebook_page_id,line_id,youtube_channel_id,instagram_id,offiicial_website_url,email,official_blog_url,reference_url,birth_place,educational_background,,occupation,position_held,father,spouse,,url_wikidata,url_wikipedia,,,
wikdiata_concept,label,,,P1814,P102,Q646425,,P768(Q13365595),P768(Q1052894),P21,P569,,P569,P18,P2002,P2013,P4003,P553-P554,P2397,P553-P554,P856,P968,P1581,P973,P19,P69,P69,P106,P39,P22,P26,,,,,,
wikidata,名前（フル）,名前（姓）,名前（名）,かな,公認政党,都道府県,小選挙区番号,比例区,小選挙区,性別,誕生日,年齢,誕生年,写真,twitter,フェイスブックID,公式Facebookページ,LINEアカウント,youtube channel,Instagram,公式サイト,メールアドレス,公式ブログ,詳細情報URL,出生地,学歴（履歴）,学歴（最新）,職歴,公職,父親,配偶者,メモ,Wikidata URL,Wikipedia URL,担当,予定日,完了日
Q45207,アントニオ 猪木 [猪木 寛至],,,あんとにお いのき,無ク,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7497821,足立 信也,,,あだち しんや,民進,,,,大分,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27150771,足立 敏之,,,あだち としゆき,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18700441,阿達 雅志,,,あだち まさし,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11581903,相原 久美子,,,あいはら くみこ,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6203078,愛知 治郎,,,あいち じろう,自民,,,,宮城,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3544200,青木 愛,,,あおき あい,希望,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1737543,青木 一彦,,,あおき かずひこ,自民,,,,鳥取・島根,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11661317,青山 繁晴,,,あおやま しげはる,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6782249,赤池 誠章,,,あかいけ まさあき,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11595863,秋野 公造,,,あきの こうぞう,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11557153,浅田 均,,,あさだ ひとし,維新,,,,大阪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6391997,朝日 健太郎,,,あさひ けんたろう,自民,,,,東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16263684,東 徹,,,あずま とおる,維新,,,,大阪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11516618,有田 芳生,,,ありた よしふ,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11516489,有村 治子,,,ありむら はるこ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7426404,井上 哲士,,,いのうえ さとし,共産,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11373187,井上 義行,,,いのうえ よしゆき,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16264294,井原 巧,,,いはら たくみ,自民,,,,愛媛,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26044244,伊藤 孝江,,,いとう たかえ,公明,,,,兵庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26044232,伊藤 孝恵,,,いとう たかえ,民進,,,,愛知,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11379661,伊波 洋一,,,いは よういち,沖縄,,,,沖縄,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11585059,石井 章,,,いしい あきら,維新,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6313056,石井 準一,,,いしい じゅんいち,自民,,,,千葉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1620262,石井 浩郎,,,いしい ひろお,自民,,,,秋田,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q557011,石井 正弘,,,いしい まさひろ,自民,,,,岡山,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6842915,石井 みどり,,,いしい みどり,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11585080,石井 苗子,,,いしい みつこ,維新,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17685959,石上 俊雄,,,いしがみ としお,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11585722,石川 博崇,,,いしかわ ひろたか,公明,,,,大阪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16264050,石田 昌宏,,,いしだ まさひろ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11586712,石橋 通宏,,,いしばし みちひろ,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11587972,磯崎 仁彦,,,いそざき よしひこ,自民,,,,香川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16264106,礒崎 哲史,,,いそざき てつじ,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8062680,礒崎 陽輔,,,いそざき ようすけ,自民,,,,大分,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q525406,市田 忠義,,,いちだ ただよし,共産,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6383680,糸数 慶子,,,いとかず けいこ,沖縄,,,,沖縄,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q534585,猪口 邦子,,,いのぐち くにこ,自民,,,,千葉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3056615,今井 絵理子,,,いまい えりこ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11474082,岩井 茂樹,,,いわい しげき,自民,,,,静岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26043966,岩渕 友,,,いわぶち とも,共産,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7464183,宇都 隆史,,,うと たかし,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11360463,上野 通子,,,うえの みちこ,自民,,,,栃木,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8060488,魚住 裕一郎,,,うおずみ ゆういちろう,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11550863,江崎 孝,,,えさき たかし,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11550848,江島 潔,,,えじま きよし,自民,,,,山口,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7446701,衛藤 晟一,,,えとう せいいち,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27150792,小川 克巳,,,おがわ かつみ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1148765,小川 勝也,,,おがわ かつや,民進,,,,北海道,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q962110,小川 敏夫,,,おがわ としお,民進,,,,東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25939253,小野田 紀美,,,おのだ きみ,自民,,,,岡山,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5752333,尾辻 秀久,,,おつじ ひでひさ,自民,,,,鹿児島,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11434490,大家 敏志,,,おおいえ さとし,自民,,,,福岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11434840,大島 九州男,,,おおしま くすお,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6425965,大塚 耕平,,,おおつか こうへい,民進,,,,愛知,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16264815,大沼 みずほ [亀 瑞穂],,,おおぬま みずほ,自民,,,,山形,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6140287,大野 元裕,,,おおの もとひろ,民進,,,,埼玉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11439669,大野 泰正,,,おおの やすただ,自民,,,,岐阜,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q337446,太田 房江 [齊藤 房江],,,おおた ふさえ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6964565,岡田 直樹,,,おかだ なおき,自民,,,,石川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1393400,岡田 広,,,おかだ ひろし,自民,,,,茨城,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6964552,風間 直樹,,,かざま なおき,民進,,,,新潟,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7426488,片山 さつき,,,かたやま さつき,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26044301,片山 大介,,,かたやま だいすけ,維新,,,,兵庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q188095,片山 虎之助,,,かたやま とらのすけ,維新,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1502275,金子 原二郎,,,かねこ げんじろう,自民,,,,長崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q529313,神本 美恵子,,,かみもと みえこ,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7820158,紙 智子 [内山 智子],,,かみ ともこ,共産,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7677198,川合 孝典,,,かわい たかのり,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3041876,川田 龍平,,,かわだ りゅうへい,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
