安井　美沙子,安井美沙子,安井,美沙子,希望,愛知県 10区,新,51,https://twitter.com/nekoyasui,https://www.facebook.com/misako.yasui.77,http://nekoyasui.jp/,元参院議員,51歳
古本　伸一郎,古本伸一郎,古本,伸一郎,希望,愛知県 11区,前,52,https://twitter.com/furumoto_s11,https://www.facebook.com/furumoto.shinichiro,https://s-furumoto.net/,元財務政務官,52歳
本多　信弘,本多信弘,本多,信弘,共産,愛知県 11区,新,41,https://twitter.com/HondaNobuhiro,https://www.facebook.com/profile.php?id=100022223864056,http://www.jcp-aichi.jp/kokusei/honda,党地区職員,41歳
八木　哲也,八木哲也,八木,哲也,自民,愛知県 11区,前,70,https://twitter.com/yagi_tetsuya,https://www.facebook.com/aichi11.yagi,http://yagi-tetsuya.net/,元豊田市議,70歳
青山　周平,青山周平,青山,周平,自民,愛知県 12区,前,40,,,https://www.aoyama-shuhei.jp/,元文科委理事,40歳
重徳　和彦,重徳和彦,重徳,和彦,無所属,愛知県 12区,前,46,https://twitter.com/shigetoku2,https://www.facebook.com/kazuhiko.shigetoku,https://www.shigetoku.jp/,災害特委理事,46歳
宮地　勲,宮地勲,宮地,勲,共産,愛知県 12区,新,63,,,,党地区委員,63歳
大西　健介,大西健介,大西,健介,希望,愛知県 13区,前,46,https://twitter.com/oniken0024,https://www.facebook.com/kensuke.onishi1,https://www.oniken-web.jp/,予算委理事,46歳
大見　正,大見正,大見,正,自民,愛知県 13区,前,59,https://twitter.com/ohmisei,https://www.facebook.com/profile.php?id=100011041118044,http://www.geocities.jp/bnn00434/index.html,経産委理事,59歳
下島　良一,下島良一,下島,良一,共産,愛知県 13区,新,71,,,,元碧南市議,71歳
今枝　宗一郎,今枝宗一郎,今枝,宗一郎,自民,愛知県 14区,前,33,https://twitter.com/imaeda_soichiro,https://www.facebook.com/soichiro.imaeda,http://www.imaeda-sou.com/,財務政務官,33歳
金原　信之,金原信之,金原,信之,共産,愛知県 14区,新,57,https://twitter.com/kpf9,,,党地区委員,57歳
田中　克典,田中克典,田中,克典,希望,愛知県 14区,新,43,https://twitter.com/k_tanaka_1010,https://www.facebook.com/tanaka.katsunori.1010,https://tanakakatsunori.com/,衆議院議員鈴木克昌秘書,43歳
関　健一郎,関健一郎,関,健一郎,希望,愛知県 15区,新,39,,https://www.facebook.com/SekiKenichiro88,https://seki-kenichiro.jp/,元ＮＨＫ記者,39歳
根本　幸典,根本幸典,根本,幸典,自民,愛知県 15区,前,52,https://twitter.com/nemotoyukinori,https://www.facebook.com/yukinori.nemoto,http://www.nemotoyukinori.jp/,元国交政務官,52歳
野沢　康幸,野沢康幸,野沢,康幸,共産,愛知県 15区,新,29,https://twitter.com/jkabucp,https://www.facebook.com/tagire.power.of.the.fish,,党地区委員,29歳
斉藤　大悟,斉藤大悟,斉藤,大悟,共産,秋田県 1区,新,38,https://twitter.com/hana_daichan,,,党県常任委員,38歳
冨樫　博之,冨樫博之,冨樫,博之,自民,秋田県 1区,前,62,https://twitter.com/hiroyukitogash,https://www.facebook.com/togashihiroyuki,http://www.togachan.jp/,元総務政務官,62歳
