北海道1区,,,当,"139,110",道下 大樹,道下,大樹,41,立憲民主,新,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道1区,,,当比,"120,987",船橋 利実,船橋,利実,56,自民,元,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道2区,,,当,"104,824",吉川 貴盛,吉川,貴盛,67,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道2区,,,,"74,425",松木 謙公,松木,謙公,58,希望,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道2区,,,,"52,626",金倉 昌俊,金倉,昌俊,43,共産,新,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道2区,,,,"21,643",小和田康文,,,47,維新,新,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道3区,,,当,"141,680",荒井  聡,荒井,聡,71,立憲民主,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道3区,,,,"118,961",高木 宏寿,高木,宏寿,57,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道4区,,,当,"104,054",中村 裕之,中村,裕之,56,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道4区,,,当比,"90,619",本多 平直,本多,平直,52,立憲民主,元,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道4区,,,,"31,941",高橋 美穂,高橋,美穂,52,希望,元,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道5区,,,当,"142,687",和田 義明,和田,義明,46,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道5区,,,当比,"135,948",池田 真紀,池田,真紀,45,立憲民主,新,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道5区,,,,"7,632",森山 佳則,森山,佳則,50,諸派,新,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道6区,,,当,"136,312",佐々木隆博,,,68,立憲民主,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道6区,,,,"113,851",今津  寛,今津,寛,71,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道7区,,,当,"95,200",伊東 良孝,伊東,良孝,68,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道7区,,,,"47,740",石川 明美,石川,明美,66,共産,新,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道8区,,,当,"125,771",逢坂 誠二,逢坂,誠二,58,立憲民主,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道8区,,,,"101,243",前田 一男,前田,一男,51,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道9区,,,当,"108,747",堀井  学,堀井,学,45,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道9区,,,当比,"88,320",山岡 達丸,山岡,達丸,38,希望,元,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道9区,,,,"35,543",松橋 千春,松橋,千春,35,共産,新,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道10区,,,当,"96,795",稲津  久,稲津,久,59,公明,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道10区,,,当比,"96,282",神谷  裕,神谷,裕,49,立憲民主,新,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道11区,,,当,"98,214",石川 香織,石川,香織,33,立憲民主,新,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道11区,,,,"82,096",中川 郁子,中川,郁子,58,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道12区,,,当,"97,113",武部  新,武部,新,47,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道12区,,,,"58,422",水上 美華,水上,美華,35,希望,新,https://mainichi.jp/senkyo/48shu/area/?kid=01
北海道12区,,,,"23,830",菅原  誠,菅原,誠,44,共産,新,https://mainichi.jp/senkyo/48shu/area/?kid=01
青森1区,,,当,"103,177",津島  淳,津島,淳,51,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=02
青森1区,,,,"64,173",升田世喜男,,,60,希望,前,https://mainichi.jp/senkyo/48shu/area/?kid=02
青森1区,,,,"20,497",赤平 勇人,赤平,勇人,27,共産,新,https://mainichi.jp/senkyo/48shu/area/?kid=02
青森2区,,,当,"133,545",大島 理森,大島,理森,71,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=02
青森2区,,,,"56,011",工藤 武司,工藤,武司,45,希望,新,https://mainichi.jp/senkyo/48shu/area/?kid=02
青森2区,,,,"19,004",奥本菜保巳,,,57,共産,新,https://mainichi.jp/senkyo/48shu/area/?kid=02
青森3区,,,当,"128,740",木村 次郎,木村,次郎,49,自民,新,https://mainichi.jp/senkyo/48shu/area/?kid=02
青森3区,,,,"51,096",山内  崇,山内,崇,62,希望,新,https://mainichi.jp/senkyo/48shu/area/?kid=02
青森3区,,,,"16,510",高柳 博明,高柳,博明,47,共産,新,https://mainichi.jp/senkyo/48shu/area/?kid=02
青森3区,,,,"4,115",三国 佑貴,三国,佑貴,32,諸派,新,https://mainichi.jp/senkyo/48shu/area/?kid=02
岩手1区,,,当,"87,534",階   猛,階,猛,51,希望,前,https://mainichi.jp/senkyo/48shu/area/?kid=03
岩手1区,,,当比,"57,381",高橋比奈子,,,59,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=03
岩手1区,,,,"21,549",吉田 恭子,吉田,恭子,36,共産,新,https://mainichi.jp/senkyo/48shu/area/?kid=03
岩手2区,,,当,"129,884",鈴木 俊一,鈴木,俊一,64,自民,前,https://mainichi.jp/senkyo/48shu/area/?kid=03
